"state","year","quarter","total_registrations"
"tamil nadu",2022,2,"22829720"
"tamil nadu",2022,3,"24019964"
"tamil nadu",2022,4,"25136112"
"tamil nadu",2023,1,"26270663"
"tamil nadu",2023,2,"27317599"
"tamil nadu",2023,3,"28405436"
"tamil nadu",2023,4,"29452801"
"tamil nadu",2024,1,"30638750"
"tamil nadu",2024,2,"31818880"
"tamil nadu",2024,3,"32965209"
"tamil nadu",2024,4,"33966610"
"telangana",2018,1,"3315560"
"telangana",2018,2,"4260115"
"telangana",2018,3,"5138501"
"telangana",2018,4,"6529679"
"telangana",2019,1,"7963425"
"telangana",2019,2,"9046007"
"telangana",2019,3,"10090557"
"telangana",2019,4,"11220691"
"telangana",2020,1,"12306860"
"telangana",2020,2,"13378191"
"telangana",2020,3,"14590882"
"telangana",2020,4,"15927797"
"telangana",2021,1,"17149069"
"telangana",2021,2,"18306880"
"telangana",2021,3,"19615278"
"telangana",2021,4,"20917649"
"telangana",2022,1,"22150612"
"telangana",2022,2,"23314363"
"telangana",2022,3,"24506111"
"telangana",2022,4,"25656381"
"telangana",2023,1,"26804259"
"telangana",2023,2,"27814633"
"telangana",2023,3,"28896668"
"telangana",2023,4,"29902636"
"telangana",2024,1,"31082447"
"telangana",2024,2,"32232171"
"telangana",2024,3,"30776242"
"telangana",2024,4,"31726856"
"tripura",2018,1,"55157"
"tripura",2018,2,"83369"
"tripura",2018,3,"116874"
"tripura",2018,4,"153265"
"tripura",2019,1,"183254"
"tripura",2019,2,"217644"
"tripura",2019,3,"245456"
"tripura",2019,4,"272298"
"tripura",2020,1,"299962"
"tripura",2020,2,"336666"
"tripura",2020,3,"376731"
"tripura",2020,4,"409110"
"tripura",2021,1,"439636"
"tripura",2021,2,"472153"
"tripura",2021,3,"509929"
"tripura",2021,4,"546292"
"tripura",2022,1,"582124"
"tripura",2022,2,"615782"
"tripura",2022,3,"649143"
"tripura",2022,4,"678741"
"tripura",2023,1,"710884"
"tripura",2023,2,"743024"
"tripura",2023,3,"774678"
"tripura",2023,4,"806344"
"tripura",2024,1,"842135"
"tripura",2024,2,"876724"
"tripura",2024,3,"916336"
"tripura",2024,4,"948916"
"uttar pradesh",2018,1,"4694250"
"uttar pradesh",2018,2,"6442554"
"uttar pradesh",2018,3,"8096483"
"uttar pradesh",2018,4,"10341964"
"uttar pradesh",2019,1,"12458661"
"uttar pradesh",2019,2,"14316349"
"uttar pradesh",2019,3,"16044607"
"uttar pradesh",2019,4,"17949542"
"uttar pradesh",2020,1,"20136256"
"uttar pradesh",2020,2,"22498519"
"uttar pradesh",2020,3,"24838116"
"uttar pradesh",2020,4,"27249134"
"uttar pradesh",2021,1,"29482075"
"uttar pradesh",2021,2,"31651894"
"uttar pradesh",2021,3,"34151882"
"uttar pradesh",2021,4,"36617655"
"uttar pradesh",2022,1,"38999692"
"uttar pradesh",2022,2,"41247289"
"uttar pradesh",2022,3,"43537920"
"uttar pradesh",2022,4,"45648650"
"uttar pradesh",2023,1,"47806049"
"uttar pradesh",2023,2,"49829833"
"uttar pradesh",2023,3,"51870932"
"uttar pradesh",2023,4,"53799813"
"uttar pradesh",2024,1,"56028765"
"uttar pradesh",2024,2,"58199149"
"uttar pradesh",2024,3,"67922000"
"uttar pradesh",2024,4,"70474113"
"uttarakhand",2018,1,"483043"
"uttarakhand",2018,2,"649142"
"uttarakhand",2018,3,"810612"
"uttarakhand",2018,4,"1012103"
"uttarakhand",2019,1,"1224955"
"uttarakhand",2019,2,"1414339"
"uttarakhand",2019,3,"1585859"
"uttarakhand",2019,4,"1752677"
"uttarakhand",2020,1,"1943606"
"uttarakhand",2020,2,"2148567"
"uttarakhand",2020,3,"2365438"
"uttarakhand",2020,4,"2596244"
"uttarakhand",2021,1,"2802122"
"uttarakhand",2021,2,"3004040"
"uttarakhand",2021,3,"3233509"
"uttarakhand",2021,4,"3460015"
"uttarakhand",2022,1,"3674829"
"uttarakhand",2022,2,"3877056"
"uttarakhand",2022,3,"4081976"
"uttarakhand",2022,4,"4272049"
"uttarakhand",2023,1,"4464369"
"uttarakhand",2023,2,"4645322"
"uttarakhand",2023,3,"4829992"
"uttarakhand",2023,4,"5001826"
"uttarakhand",2024,1,"5202251"
"uttarakhand",2024,2,"5395292"
"uttarakhand",2024,3,"5423770"
"uttarakhand",2024,4,"5575922"
"west bengal",2018,1,"2604789"
"west bengal",2018,2,"3833795"
"west bengal",2018,3,"4851740"
"west bengal",2018,4,"6279278"
"west bengal",2019,1,"7449425"
"west bengal",2019,2,"8612795"
"west bengal",2019,3,"9643222"
"west bengal",2019,4,"10885058"
"west bengal",2020,1,"11960822"
"west bengal",2020,2,"13222022"
"west bengal",2020,3,"14448366"
"west bengal",2020,4,"15662093"
"west bengal",2021,1,"16808799"
"west bengal",2021,2,"17979979"
"west bengal",2021,3,"19323278"
"west bengal",2021,4,"20644527"
"west bengal",2022,1,"21919787"
"west bengal",2022,2,"23124388"
"west bengal",2022,3,"24372048"
"west bengal",2022,4,"25536381"
"west bengal",2023,1,"26732895"
"west bengal",2023,2,"27827662"
"west bengal",2023,3,"28966414"
"west bengal",2023,4,"30064546"
"west bengal",2024,1,"31306843"
"west bengal",2024,2,"32540397"
"west bengal",2024,3,"33612828"
"west bengal",2024,4,"34750181"
