"state","district","total_insurance_transactions"
"uttar-pradesh","aligarh district","18610"
"uttar-pradesh","mathura district","18571"
"bihar","darbhanga district","17959"
"uttar-pradesh","muzaffarnagar district","17856"
"bihar","purbi champaran district","17797"
"haryana","karnal district","17549"
"haryana","bhiwani district","17482"
"kerala","kasaragod district","17376"
"karnataka","bagalkote district","16948"
"tamil-nadu","dindigul district","16903"
"rajasthan","bhilwara district","16893"
"karnataka","chikkamagaluru district","16881"
"rajasthan","ganganagar district","16776"
"tamil-nadu","thanjavur district","16525"
"telangana","mancherial district","16154"
"rajasthan","bikaner district","16097"
"tamil-nadu","tirunelveli district","16033"
"maharashtra","beed district","15992"
"madhya-pradesh","ujjain district","15910"
"haryana","mahendragarh district","15879"
"bihar","madhubani district","15713"
"tamil-nadu","namakkal district","15626"
"karnataka","chitradurga district","15613"
"haryana","palwal district","15595"
"punjab","amritsar district","15496"
"west-bengal","bankura district","15467"
"delhi","south east district","15290"
"punjab","jalandhar district","15286"
"west-bengal","birbhum district","15240"
"west-bengal","jalpaiguri district","15127"
"rajasthan","barmer district","15103"
"assam","dibrugarh district","15084"
"tamil-nadu","vellore district","14995"
"telangana","nizamabad district","14912"
"haryana","ambala district","14902"
"uttar-pradesh","bijnor district","14872"
"uttar-pradesh","azamgarh district","14743"
"himachal-pradesh","kangra district","14682"
"maharashtra","buldhana district","14504"
"tamil-nadu","kanniyakumari district","14469"
"tamil-nadu","tiruvallur district","14397"
"bihar","nalanda district","14396"
"rajasthan","nagaur district","14310"
"tamil-nadu","viluppuram district","14282"
"rajasthan","pali district","14274"
"odisha","kendujhar district","14273"
"rajasthan","hanumangarh district","14161"
"assam","sonitpur district","14005"
"uttar-pradesh","jaunpur district","13620"
"uttarakhand","nainital district","13593"
"west-bengal","uttar dinajpur district","13551"
"uttar-pradesh","hapur district","13426"
"bihar","katihar district","13357"
"west-bengal","koch bihar district","13188"
"madhya-pradesh","dhar district","13105"
"bihar","siwan district","13069"
"telangana","peddapalle district","13046"
"gujarat","mahesana district","12947"
"assam","barpeta district","12874"
"maharashtra","dhule district","12871"
"madhya-pradesh","rewa district","12765"
"assam","nagaon district","12758"
"himachal-pradesh","solan district","12754"
"bihar","pashchim champaran district","12740"
"karnataka","chikkaballapura district","12686"
"gujarat","bhavnagar district","12667"
"maharashtra","ratnagiri district","12615"
"tamil-nadu","tiruvannamalai district","12543"
"chhattisgarh","korba district","12456"
"telangana","suryapet district","12453"
"maharashtra","yavatmal district","12420"
"odisha","anugul district","12385"
"tripura","west tripura district","12256"
"karnataka","haveri district","12238"
"haryana","jind district","11965"
"haryana","panchkula district","11956"
"andhra-pradesh","ntr district","11933"
"rajasthan","bharatpur district","11907"
"uttar-pradesh","ghazipur district","11844"
"madhya-pradesh","dewas district","11781"
"chhattisgarh","raigarh district","11647"
"rajasthan","churu district","11625"
"bihar","rohtas district","11416"
"west-bengal","purulia district","11410"
"assam","kamrup district","11409"
"maharashtra","jalna district","11344"
"madhya-pradesh","chhindwara district","11340"
"haryana","yamunanagar district","11336"
"madhya-pradesh","satna district","11322"
"bihar","purnia district","11267"
"madhya-pradesh","singrauli district","11214"
"haryana","sirsa district","11165"
"andaman-&-nicobar-islands","south andaman district","11160"
"madhya-pradesh","sagar district","11077"
"punjab","patiala district","10984"
"punjab","bathinda district","10895"
"tamil-nadu","virudhunagar district","10856"
"gujarat","banas kantha district","10851"
"odisha","mayurbhanj district","10797"
"odisha","sambalpur district","10789"
"bihar","sitamarhi district","10759"
"uttar-pradesh","deoria district","10719"
"rajasthan","jalore district","10688"
"uttar-pradesh","ballia district","10622"
"tamil-nadu","ranipet district","10568"
"haryana","kurukshetra district","10544"
"uttar-pradesh","sonbhadra district","10437"
"assam","tinsukia district","10433"
"karnataka","koppal district","10404"
"jharkhand","saraikela kharsawan district","10388"
"uttar-pradesh","kushinagar district","10343"
"maharashtra","wardha district","10280"
"tamil-nadu","dharmapuri district","10271"
"tamil-nadu","theni district","10264"
"telangana","siddipet district","10244"
"jharkhand","palamu district","10239"
"bihar","bhojpur district","10192"
"uttar-pradesh","pratapgarh district","10101"
"odisha","baleshwar district","10071"
"rajasthan","chittorgarh district","10067"
"odisha","puri district","9936"
"uttar-pradesh","ayodhya district","9913"
"rajasthan","dausa district","9881"
"karnataka","kodagu district","9855"
"telangana","jagtial district","9736"
"assam","cachar district","9563"
"assam","jorhat district","9512"
"bihar","munger district","9486"
"maharashtra","parbhani district","9481"
"maharashtra","akola district","9381"
"bihar","gopalganj district","9359"
"odisha","jajapur district","9346"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli district","9185"
"maharashtra","bhandara district","9104"
"gujarat","jamnagar district","9094"
"tamil-nadu","thoothukkudi district","9072"
"bihar","aurangabad district","9065"
"uttar-pradesh","basti district","9039"
"uttar-pradesh","amroha district","8907"
"maharashtra","osmanabad district","8845"
"odisha","koraput district","8795"
"west-bengal","alipurduar district","8782"
"karnataka","gadag district","8692"
"odisha","jharsuguda district","8601"
"haryana","kaithal district","8518"
"madhya-pradesh","betul district","8477"
"telangana","yadadri bhuvanagiri district","8466"
"tamil-nadu","nagapattinam district","8453"
