"state","district","total_insurance_transactions"
"dadra-&-nagar-haveli-&-daman-&-diu","diu district","266"
"manipur","churachandpur district","265"
"manipur","bishnupur district","260"
"arunachal-pradesh","lower subansiri district","260"
"mizoram","lawngtlai district","244"
"chhattisgarh","gaurela pendra marwahi district","232"
"assam","bajali district","231"
"meghalaya","west jaintia hills district","226"
"chhattisgarh","khairagarh chhuikhadan gandai district","218"
"mizoram","kolasib district","207"
"nagaland","mon district","205"
"assam","tamulpur district","203"
"sikkim","pakyong district","198"
"jammu-&-kashmir","mirpur district","192"
"himachal-pradesh","lahul and spiti district","192"
"punjab","malerkotla district","171"
"mizoram","serchhip district","170"
"arunachal-pradesh","east kameng district","168"
"chhattisgarh","mohla manpur ambagarh chouki district","167"
"arunachal-pradesh","upper subansiri district","160"
"nagaland","chumoukedima district","152"
"nagaland","wokha district","145"
"meghalaya","west khasi hills district","144"
"mizoram","mamit district","140"
"arunachal-pradesh","upper siang district","135"
"andaman-&-nicobar-islands","nicobar district","128"
"manipur","jiribam district","127"
"sikkim","namchi district","119"
"arunachal-pradesh","lower siang district","117"
"manipur","kakching district","115"
"sikkim","mangan district","111"
"manipur","senapati district","103"
"manipur","ukhrul district","102"
"manipur","chandel district","100"
"arunachal-pradesh","longding district","97"
"mizoram","champhai district","96"
"gujarat","dangs district","95"
"nagaland","tuensang district","93"
"manipur","tengnoupal district","90"
"nagaland","phek district","81"
"arunachal-pradesh","lepa rada district","77"
"manipur","tamenglong district","74"
"himachal-pradesh","lahaul and spiti district","73"
"nagaland","peren district","71"
"sikkim","gyalshing district","69"
"arunachal-pradesh","siang district","58"
"nagaland","zunheboto district","56"
"arunachal-pradesh","anjaw district","54"
"sikkim","soreng district","46"
"meghalaya","south west khasi hills district","43"
"mizoram","saiha district","42"
"arunachal-pradesh","kurung kumey district","38"
"arunachal-pradesh","kamle district","38"
"manipur","noney district","37"
"arunachal-pradesh","pakke kessang district","37"
"nagaland","kiphire district","30"
"arunachal-pradesh","dibang valley district","29"
"arunachal-pradesh","kra daadi district","28"
"nagaland","longleng district","24"
"jammu-&-kashmir","muzaffarabad district","23"
"arunachal-pradesh","shi yomi district","21"
"mizoram","siaha district","21"
"manipur","kamjong district","15"
"meghalaya","eastern west khasi hills district","12"
"mizoram","saitual district","9"
"nagaland","noklak district","5"
"mizoram","khawzawl district","3"
"nagaland","tseminyu district","3"
"manipur","pherzawl district","3"
"nagaland","shamator district","2"
"mizoram","hnahthial district","2"
