"state","year","quarter","total_transactions","total_amount"
"bihar",2019,1,"26356234","41502827514.52612"
"bihar",2019,2,"29960479","63132438283.54397"
"bihar",2019,3,"32139900","67692783254.273834"
"bihar",2019,4,"43530314","93313426577.80905"
"bihar",2020,1,"45081815","109256853527.24524"
"bihar",2020,2,"53386742","128806523628.85287"
"bihar",2020,3,"71503748","173328865111.8144"
"bihar",2020,4,"96591673","238905613136.47186"
"bihar",2021,1,"114932477","280973649701.2259"
"bihar",2021,2,"155603622","374580255186.58875"
"bihar",2021,3,"187671113","397062760956.3983"
"bihar",2021,4,"245126945","519371614068.7477"
"bihar",2022,1,"284390434","611411695731.1454"
"bihar",2022,2,"360145029","754461454966.1152"
"bihar",2022,3,"437367385","791446486557.8687"
"bihar",2022,4,"517084649","936012149674.8281"
"bihar",2023,1,"547831195","1039276959944.0"
"bihar",2023,2,"683933094","1226046745390.0"
"bihar",2023,3,"734238751","1148153363366.0"
"bihar",2023,4,"924427274","1434735808415.0"
"bihar",2024,1,"1078734783","1637736864896.0"
"bihar",2024,2,"1313888385","1886846564676.0"
"bihar",2024,3,"1352876223","1780280473339.0"
"bihar",2024,4,"1559667675","2098927476047.0"
"chandigarh",2018,1,"381895","613435420.8676233"
"chandigarh",2018,2,"479084","961223261.74473"
"chandigarh",2018,3,"616936","1369354447.5343118"
"chandigarh",2018,4,"905116","2032591591.779975"
"chandigarh",2019,1,"1274476","2396032050.444029"
"chandigarh",2019,2,"1252470","2693116098.9444556"
"chandigarh",2019,3,"1506543","3269682087.6608405"
"chandigarh",2019,4,"1850915","4152513817.939354"
"chandigarh",2020,1,"2262511","5126453070.016205"
"chandigarh",2020,2,"1528010","3847015729.690074"
"chandigarh",2020,3,"2158086","5089809353.36507"
"chandigarh",2020,4,"2912716","6146762901.349345"
"chandigarh",2021,1,"3970237","7596420859.545994"
"chandigarh",2021,2,"4417547","8417673939.9361"
"chandigarh",2021,3,"6649378","11815883004.693302"
"chandigarh",2021,4,"7898903","14373583510.61845"
"chandigarh",2022,1,"8600491","15174991549.840002"
"chandigarh",2022,2,"10772489","17283500158.371002"
"chandigarh",2022,3,"13478173","20559757737.40586"
"chandigarh",2022,4,"17904840","27879754566.939415"
"chandigarh",2023,1,"9815605","12824894394.0"
"chandigarh",2023,2,"11553687","14414408750.0"
"chandigarh",2023,3,"13052165","15426783311.0"
"chandigarh",2023,4,"13280078","16281223001.0"
"chandigarh",2024,1,"13155173","15842176181.0"
"chandigarh",2024,2,"15940973","17556903812.0"
"chandigarh",2024,3,"17708385","19259257876.0"
"chandigarh",2024,4,"18528444","20501385889.0"
"chhattisgarh",2018,1,"1891514","2149155557.2367463"
"chhattisgarh",2018,2,"2816156","4264170443.1617327"
"chhattisgarh",2018,3,"3859604","6302307073.446348"
"chhattisgarh",2018,4,"5365844","9416412664.971258"
"chhattisgarh",2019,1,"7887669","12544556385.328796"
"chhattisgarh",2019,2,"9389945","17002355688.82225"
"chhattisgarh",2019,3,"12243111","19803259167.45372"
"chhattisgarh",2019,4,"16305758","27143788737.21397"
"chhattisgarh",2020,1,"19523991","32860597671.356686"
"chhattisgarh",2020,2,"18820925","32268382206.900894"
"chhattisgarh",2020,3,"24148539","41526744807.53401"
"chhattisgarh",2020,4,"35529636","62214974283.94806"
"chhattisgarh",2021,1,"39436437","69409843261.55008"
"chhattisgarh",2021,2,"44689420","78728771259.22594"
"chhattisgarh",2021,3,"64237938","104606108262.77591"
"chhattisgarh",2021,4,"84717494","136399110518.81381"
"chhattisgarh",2022,1,"97413292","157847045454.8349"
"chhattisgarh",2022,2,"116584048","181181677163.7799"
"chhattisgarh",2022,3,"158252587","220161558081.9853"
"chhattisgarh",2022,4,"177960446","252519180810.47455"
"chhattisgarh",2023,1,"214748957","301088936459.0"
"chhattisgarh",2023,2,"249931636","333156846754.0"
"chhattisgarh",2023,3,"283492657","350379679526.0"
"chhattisgarh",2023,4,"321876332","403985034545.0"
"chhattisgarh",2024,1,"366176684","463009809901.0"
"chhattisgarh",2024,2,"412047705","496313432419.0"
"chhattisgarh",2024,3,"443640102","497360133758.0"
"chhattisgarh",2024,4,"500655404","576828444625.0"
"dadra & nagar haveli & daman & diu",2018,1,"148549","175658384.10921687"
"dadra & nagar haveli & daman & diu",2018,2,"202626","302070771.6561514"
"dadra & nagar haveli & daman & diu",2018,3,"289575","447639595.67817545"
"dadra & nagar haveli & daman & diu",2018,4,"404082","658750616.8008878"
"dadra & nagar haveli & daman & diu",2019,1,"661814","843369776.0499002"
"dadra & nagar haveli & daman & diu",2019,2,"489656","824441276.56507"
"dadra & nagar haveli & daman & diu",2019,3,"638751","961471473.8483732"
"dadra & nagar haveli & daman & diu",2019,4,"768971","1226641262.0110402"
"dadra & nagar haveli & daman & diu",2020,1,"878579","1342763369.292519"
"dadra & nagar haveli & daman & diu",2020,2,"973152","1302376453.8880572"
"dadra & nagar haveli & daman & diu",2020,3,"1138312","1749789114.9993598"
"dadra & nagar haveli & daman & diu",2020,4,"1817791","2700511100.828503"
"dadra & nagar haveli & daman & diu",2021,1,"1925244","2965632911.1935043"
"dadra & nagar haveli & daman & diu",2021,2,"2125083","3157668461.418905"
"dadra & nagar haveli & daman & diu",2021,3,"3129470","4305939102.791508"
"dadra & nagar haveli & daman & diu",2021,4,"4157085","5565839386.3306675"
"dadra & nagar haveli & daman & diu",2022,1,"4802803","6237048367.262389"
"dadra & nagar haveli & daman & diu",2022,2,"5759771","6995159780.810846"
"dadra & nagar haveli & daman & diu",2022,3,"6465621","7520647359.499438"
"dadra & nagar haveli & daman & diu",2022,4,"7189585","8059640746.081128"
"dadra & nagar haveli & daman & diu",2023,1,"11803985","12614091200.0"
"dadra & nagar haveli & daman & diu",2023,2,"13357115","13750538188.0"
"dadra & nagar haveli & daman & diu",2023,3,"15370328","15096066463.0"
"dadra & nagar haveli & daman & diu",2023,4,"18302373","17558059967.0"
"dadra & nagar haveli & daman & diu",2024,1,"21115009","19519196325.0"
"dadra & nagar haveli & daman & diu",2024,2,"23393115","20328992711.0"
"dadra & nagar haveli & daman & diu",2024,3,"25446270","21564631566.0"
"dadra & nagar haveli & daman & diu",2024,4,"28463700","23945221461.0"
"delhi",2018,1,"7122754","11211503806.91996"
"delhi",2018,2,"9373723","17446299902.205147"
"delhi",2018,3,"18547048","27375846860.618515"
"delhi",2018,4,"29187719","39722857618.706436"
"delhi",2019,1,"47007327","58469131789.49733"
"delhi",2019,2,"57171512","81706816063.62862"
"delhi",2019,3,"69537876","103196812046.45712"
"delhi",2019,4,"80744997","129024467424.89062"
"delhi",2020,1,"81747604","133616543642.58943"
"delhi",2020,2,"66042018","107873438203.33162"
"delhi",2020,3,"96491861","175163962804.6604"
"delhi",2020,4,"120540417","216265088224.5436"
"delhi",2021,1,"157359004","266928345043.49225"
"delhi",2021,2,"170157264","281941097684.5416"
