"state","district","total_registered_users"
"punjab","fazilka","7538617"
"punjab","sangrur","7206625"
"goa","south goa","6859851"
"jharkhand","ramgarh","6793014"
"assam","nagaon","6563199"
"punjab","hoshiarpur","6351991"
"himachal-pradesh","shimla","6189324"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli","6052290"
"chhattisgarh","rajnandgaon","6025802"
"assam","barpeta","5965082"
"punjab","gurdaspur","5721500"
"assam","cachar","5702063"
"himachal-pradesh","mandi","5649017"
"maharashtra","chhatrapati sambhaji nagar","5507262"
"tripura","west tripura","5494544"
"assam","dibrugarh","5057945"
"assam","kamrup","5048474"
"assam","sonitpur","5044060"
"jharkhand","saraikela kharsawan","4868184"
"chhattisgarh","baloda bazar","4782485"
"chhattisgarh","surguja","4763776"
"delhi","south east","4583128"
"chhattisgarh","mahasamund","4470939"
"assam","tinsukia","4358608"
"uttarakhand","pauri garhwal","4059892"
"andhra-pradesh","ntr","3964617"
"jammu-&-kashmir","srinagar","3816332"
"andhra-pradesh","tirupati","3798145"
"dadra-&-nagar-haveli-&-daman-&-diu","daman","3670974"
"assam","dhubri","3661939"
"himachal-pradesh","sirmaur","3621509"
"maharashtra","raigad","3541506"
"karnataka","kolar","3405214"
"tamil-nadu","tiruvallur","3350094"
"himachal-pradesh","hamirpur","3331776"
"himachal-pradesh","kullu","3294018"
"bihar","bhagalpur","3258576"
"assam","jorhat","3174532"
"jammu-&-kashmir","baramulla","3159336"
"uttarakhand","tehri garhwal","3131626"
"himachal-pradesh","una","3099786"
"andhra-pradesh","sri potti sriramulu nellore","2932118"
"rajasthan","jaipur rural","2902009"
"manipur","imphal west","2873167"
"gujarat","banaskantha","2785805"
"nagaland","dimapur","2785205"
"andhra-pradesh","ananthapuramu","2678865"
"uttarakhand","almora","2646203"
"andhra-pradesh","kakinada","2627487"
"andhra-pradesh","ysr","2451999"
"sikkim","east","2451337"
"meghalaya","east khasi hills","2430022"
"himachal-pradesh","bilaspur","2405499"
"himachal-pradesh","chamba","2379141"
"arunachal-pradesh","papum pare","2330974"
"rajasthan","bikaner","2318762"
"jammu-&-kashmir","budgam","2287815"
"jammu-&-kashmir","anantnag","2224894"
"uttarakhand","pithoragarh","2220976"
"jammu-&-kashmir","kathua","2088946"
"jammu-&-kashmir","kupwara","2080388"
"odisha","baleswar","1971171"
"jammu-&-kashmir","udhampur","1947356"
"uttarakhand","chamoli","1928430"
"tamil-nadu","erode","1889058"
"manipur","imphal east","1853619"
"odisha","jajpur","1813174"
"jammu-&-kashmir","samba","1780538"
"ladakh","leh ladakh","1746093"
"madhya-pradesh","dewas","1696659"
"jharkhand","hazaribag","1627658"
"uttarakhand","uttarkashi","1551808"
"odisha","anugul","1551118"
"andaman-&-nicobar-islands","south andaman","1537895"
"tripura","south tripura","1475172"
"tripura","sepahijala","1459513"
"telangana","hanumakonda","1447790"
"jammu-&-kashmir","rajouri","1403900"
"tripura","north tripura","1400859"
"mizoram","aizawl","1393546"
"madhya-pradesh","ratlam","1390287"
"meghalaya","west garo hills","1355535"
"haryana","nuh","1333736"
"tripura","gomati","1282393"
"odisha","angul","1278151"
"telangana","siddipet","1259499"
"nagaland","kohima","1128265"
"tripura","dhalai","1109998"
"puducherry","karaikal","1035188"
"manipur","thoubal","937207"
"sikkim","south","878289"
"tripura","khowai","862002"
"manipur","bishnupur","821501"
"jharkhand","garhwa","816670"
"tripura","unakoti","778146"
"assam","goalpara","714611"
"haryana","sirsa","710151"
"chhattisgarh","balodabazar bhatapara","708702"
"manipur","churachandpur","702668"
"arunachal-pradesh","west kameng","671219"
"arunachal-pradesh","changlang","622210"
"arunachal-pradesh","east siang","614391"
"sikkim","west","545124"
"manipur","kangpokpi","543126"
"ladakh","kargil","525276"
"gujarat","bhavnagar","518437"
"meghalaya","ribhoi","501505"
"nagaland","mon","470526"
"bihar","nalanda","467916"
"nagaland","mokokchung","464645"
"meghalaya","east jaintia hills","447599"
"arunachal-pradesh","lohit","434345"
"puducherry","yanam","396163"
"manipur","kakching","385764"
"telangana","peddapalle","380007"
"arunachal-pradesh","tawang","379784"
"sikkim","north","360195"
"arunachal-pradesh","itanagar capital complex","358018"
"dadra-&-nagar-haveli-&-daman-&-diu","diu","356931"
"arunachal-pradesh","namsai","352393"
"arunachal-pradesh","west siang","342403"
"mizoram","lunglei","332389"
"sikkim","gangtok","284290"
"puducherry","mahe","278792"
"nagaland","wokha","276884"
"meghalaya","west jaintia hills","276433"
"manipur","ukhrul","276205"
"mizoram","lawngtlai","267348"
"jammu-&-kashmir","pulwama","265423"
"nagaland","tuensang","258164"
"arunachal-pradesh","lower subansiri","248433"
"andaman-&-nicobar-islands","north and middle andaman","247712"
"nagaland","phek","226131"
"meghalaya","south west garo hills","224590"
"arunachal-pradesh","lower dibang valley","222023"
"meghalaya","north garo hills","220842"
"meghalaya","east garo hills","210495"
"manipur","tamenglong","207669"
"mizoram","kolasib","198077"
"nagaland","zunheboto","180620"
"meghalaya","south garo hills","180532"
"manipur","chandel","163758"
"meghalaya","west khasi hills","149590"
"mizoram","mamit","149222"
"mizoram","champhai","146987"
"lakshadweep","lakshadweep","142697"
"nagaland","chumoukedima","141790"
"haryana","bhiwani","133070"
"nagaland","peren","132415"
"meghalaya","ri bhoi","128121"
"sikkim","namchi","115837"
"mizoram","serchhip","112802"
"nagaland","kiphire","102294"
"sikkim","pakyong","102172"
"haryana","ambala","92472"
"mizoram","saiha","65424"
"assam","golaghat","54950"
"sikkim","mangan","48528"
"sikkim","gyalshing","48188"
"andaman-&-nicobar-islands","nicobars","41665"
"manipur","senapati","35359"
"sikkim","soreng","34044"
"manipur","jiribam","30526"
"andaman-&-nicobar-islands","nicobar","15193"
"mizoram","siaha","14430"
"arunachal-pradesh","tirap","14393"
"mizoram","saitual","9503"
"mizoram","hnahthial","5729"
"arunachal-pradesh","upper subansiri","1455"
