"state","district","total_transactions","total_amount"
"kerala","idukki district","25518","46991591.0"
"gujarat","gandhinagar district","25352","38562663.0"
"karnataka","kolar district","24869","40706463.0"
"gujarat","valsad district","24779","33652969.0"
"jammu-&-kashmir","jammu district","24549","43604838.0"
"andhra-pradesh","vizianagaram district","24529","24963313.0"
"madhya-pradesh","jabalpur district","24476","36745335.0"
"bihar","vaishali district","24447","29593819.0"
"jharkhand","bokaro district","24275","34173635.0"
"maharashtra","latur district","24255","31498044.0"
"karnataka","mandya district","24236","37743313.0"
"uttar-pradesh","gautambuddha nagar district","23958","38759391.0"
"haryana","jhajjar district","23780","38071007.0"
"puducherry","puducherry district","23684","30933194.0"
"rajasthan","udaipur district","23403","35684411.0"
"maharashtra","nanded district","23301","27575290.0"
"odisha","ganjam district","22938","28417373.0"
"gujarat","bharuch district","22768","30449521.0"
"rajasthan","jhunjhunu district","22737","37691893.0"
"telangana","nalgonda district","22613","27180223.0"
"uttarakhand","haridwar district","22513","34940155.0"
"andhra-pradesh","srikakulam district","22134","24835442.0"
"karnataka","udupi district","22113","33459969.0"
"chandigarh","chandigarh district","22079","33285885.0"
"uttar-pradesh","saharanpur district","22005","38388175.0"
"maharashtra","chandrapur district","21532","32109217.0"
"haryana","panipat district","21237","29237051.0"
"kerala","pathanamthitta district","20856","37010271.0"
"maharashtra","sangli district","20694","37600478.0"
"bihar","samastipur district","20682","25456740.0"
"rajasthan","ajmer district","20546","31753021.0"
"telangana","khammam district","20516","24592460.0"
"odisha","sundargarh district","20441","28374398.0"
"bihar","bhagalpur district","20349","25927210.0"
"uttar-pradesh","bulandshahr district","20348","30046872.0"
"uttarakhand","udham singh nagar district","20232","29911544.0"
"telangana","karimnagar district","20178","24150102.0"
"bihar","begusarai district","19825","23762490.0"
"kerala","wayanad district","19814","34087369.0"
"bihar","saran district","19550","26127215.0"
"haryana","rohtak district","19489","32363590.0"
"telangana","bhadradri kothagudem district","19210","24880664.0"
"karnataka","bidar district","19208","28227292.0"
"uttar-pradesh","jhansi district","19089","31163819.0"
"bihar","gaya district","19082","24025085.0"
"tamil-nadu","cuddalore district","19062","27141689.0"
"karnataka","raichur district","18705","25009427.0"
"chhattisgarh","bilaspur district","18665","25905704.0"
"uttar-pradesh","aligarh district","18610","29050042.0"
"uttar-pradesh","mathura district","18571","29159621.0"
"bihar","darbhanga district","17959","21763041.0"
"uttar-pradesh","muzaffarnagar district","17856","28609433.0"
"bihar","purbi champaran district","17797","20960572.0"
"haryana","karnal district","17549","27536203.0"
"haryana","bhiwani district","17482","27549232.0"
"kerala","kasaragod district","17376","27985123.0"
"karnataka","bagalkote district","16948","23895929.0"
"tamil-nadu","dindigul district","16903","26373083.0"
"rajasthan","bhilwara district","16893","22074039.0"
"karnataka","chikkamagaluru district","16881","30141334.0"
"rajasthan","ganganagar district","16776","31616770.0"
"tamil-nadu","thanjavur district","16525","22964597.0"
"telangana","mancherial district","16154","19824701.0"
"rajasthan","bikaner district","16097","26557394.0"
"tamil-nadu","tirunelveli district","16033","21901270.0"
"maharashtra","beed district","15992","20718869.0"
"madhya-pradesh","ujjain district","15910","21494625.0"
"haryana","mahendragarh district","15879","23909644.0"
"bihar","madhubani district","15713","20353371.0"
"tamil-nadu","namakkal district","15626","21532145.0"
"karnataka","chitradurga district","15613","23806875.0"
"haryana","palwal district","15595","23605305.0"
"punjab","amritsar district","15496","26989149.0"
"west-bengal","bankura district","15467","19582144.0"
"delhi","south east district","15290","21014253.0"
"punjab","jalandhar district","15286","24285885.0"
"west-bengal","birbhum district","15240","18426150.0"
"west-bengal","jalpaiguri district","15127","21423204.0"
"rajasthan","barmer district","15103","21670193.0"
"assam","dibrugarh district","15084","26208945.0"
"tamil-nadu","vellore district","14995","22009369.0"
"telangana","nizamabad district","14912","18163953.0"
"haryana","ambala district","14902","25494292.0"
"uttar-pradesh","bijnor district","14872","25659714.0"
"uttar-pradesh","azamgarh district","14743","24885046.0"
"himachal-pradesh","kangra district","14682","28562540.0"
"maharashtra","buldhana district","14504","19513909.0"
"tamil-nadu","kanniyakumari district","14469","23882405.0"
"tamil-nadu","tiruvallur district","14397","19789166.0"
"bihar","nalanda district","14396","18311252.0"
"rajasthan","nagaur district","14310","23519552.0"
"tamil-nadu","viluppuram district","14282","20335139.0"
"rajasthan","pali district","14274","22156624.0"
"odisha","kendujhar district","14273","20372274.0"
"rajasthan","hanumangarh district","14161","27207872.0"
"assam","sonitpur district","14005","23063052.0"
"uttar-pradesh","jaunpur district","13620","22427486.0"
"uttarakhand","nainital district","13593","21515942.0"
"west-bengal","uttar dinajpur district","13551","17264869.0"
"uttar-pradesh","hapur district","13426","21433571.0"
"bihar","katihar district","13357","16541441.0"
"west-bengal","koch bihar district","13188","14424625.0"
"madhya-pradesh","dhar district","13105","16250553.0"
"bihar","siwan district","13069","17482916.0"
"telangana","peddapalle district","13046","15725363.0"
"gujarat","mahesana district","12947","18969130.0"
"assam","barpeta district","12874","18805621.0"
"maharashtra","dhule district","12871","18538262.0"
"madhya-pradesh","rewa district","12765","18603085.0"
"assam","nagaon district","12758","20794308.0"
"himachal-pradesh","solan district","12754","20154495.0"
"bihar","pashchim champaran district","12740","15414039.0"
"karnataka","chikkaballapura district","12686","19779810.0"
"gujarat","bhavnagar district","12667","15066820.0"
"maharashtra","ratnagiri district","12615","20173134.0"
"tamil-nadu","tiruvannamalai district","12543","17192039.0"
"chhattisgarh","korba district","12456","18400674.0"
"telangana","suryapet district","12453","15117277.0"
"maharashtra","yavatmal district","12420","19442852.0"
"odisha","anugul district","12385","16041200.0"
"tripura","west tripura district","12256","15414785.0"
"karnataka","haveri district","12238","18682114.0"
"haryana","jind district","11965","19720402.0"
"haryana","panchkula district","11956","20145587.0"
"andhra-pradesh","ntr district","11933","15265290.0"
"rajasthan","bharatpur district","11907","15864132.0"
"uttar-pradesh","ghazipur district","11844","18758317.0"
"madhya-pradesh","dewas district","11781","16887534.0"
"chhattisgarh","raigarh district","11647","15224554.0"
"rajasthan","churu district","11625","18865325.0"
"bihar","rohtas district","11416","16096985.0"
"west-bengal","purulia district","11410","15431531.0"
"assam","kamrup district","11409","17055403.0"
"maharashtra","jalna district","11344","12251876.0"
"madhya-pradesh","chhindwara district","11340","18259896.0"
"haryana","yamunanagar district","11336","18671520.0"
"madhya-pradesh","satna district","11322","15189256.0"
"bihar","purnia district","11267","14084414.0"
"madhya-pradesh","singrauli district","11214","18157213.0"
"haryana","sirsa district","11165","22795053.0"
"andaman-&-nicobar-islands","south andaman district","11160","16043671.0"
"madhya-pradesh","sagar district","11077","16617220.0"
"punjab","patiala district","10984","20648843.0"
"punjab","bathinda district","10895","18554735.0"
"tamil-nadu","virudhunagar district","10856","14048303.0"
"gujarat","banas kantha district","10851","14135923.0"
"odisha","mayurbhanj district","10797","15226167.0"
"odisha","sambalpur district","10789","14308373.0"
"bihar","sitamarhi district","10759","12682461.0"
"uttar-pradesh","deoria district","10719","17230268.0"
"rajasthan","jalore district","10688","20420087.0"
"uttar-pradesh","ballia district","10622","17606507.0"
"tamil-nadu","ranipet district","10568","14216586.0"
"haryana","kurukshetra district","10544","18319242.0"
"uttar-pradesh","sonbhadra district","10437","15191561.0"
"assam","tinsukia district","10433","18175659.0"
"karnataka","koppal district","10404","14244800.0"
"jharkhand","saraikela kharsawan district","10388","12288947.0"
"uttar-pradesh","kushinagar district","10343","14946756.0"
"maharashtra","wardha district","10280","15955789.0"
"tamil-nadu","dharmapuri district","10271","14555077.0"
"tamil-nadu","theni district","10264","15184557.0"
"telangana","siddipet district","10244","13213406.0"
"jharkhand","palamu district","10239","12980373.0"
"bihar","bhojpur district","10192","13665591.0"
"uttar-pradesh","pratapgarh district","10101","16995074.0"
"odisha","baleshwar district","10071","11682892.0"
"rajasthan","chittorgarh district","10067","15013697.0"
"odisha","puri district","9936","12611358.0"
"uttar-pradesh","ayodhya district","9913","15912615.0"
"rajasthan","dausa district","9881","13698137.0"
"karnataka","kodagu district","9855","20004035.0"
"telangana","jagtial district","9736","12519767.0"
"assam","cachar district","9563","15219769.0"
"assam","jorhat district","9512","16084270.0"
"bihar","munger district","9486","11225824.0"
"maharashtra","parbhani district","9481","9978986.0"
"maharashtra","akola district","9381","13574502.0"
"bihar","gopalganj district","9359","14330267.0"
"odisha","jajapur district","9346","11632910.0"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli district","9185","10783114.0"
"maharashtra","bhandara district","9104","14369048.0"
"gujarat","jamnagar district","9094","12702989.0"
"tamil-nadu","thoothukkudi district","9072","13385239.0"
"bihar","aurangabad district","9065","12734543.0"
"uttar-pradesh","basti district","9039","13114584.0"
"uttar-pradesh","amroha district","8907","16692382.0"
"maharashtra","osmanabad district","8845","13658091.0"
"odisha","koraput district","8795","12904492.0"
"west-bengal","alipurduar district","8782","12649662.0"
"karnataka","gadag district","8692","13219571.0"
"odisha","jharsuguda district","8601","11498913.0"
