"state","district","total_transactions","total_amount"
"chhattisgarh","jashpur district","2784","4744665.0"
"puducherry","karaikal district","2772","3970319.0"
"punjab","fatehgarh sahib district","2750","5216122.0"
"uttar-pradesh","hamirpur district","2744","4430474.0"
"madhya-pradesh","harda district","2712","4445457.0"
"odisha","malkangiri district","2692","3729491.0"
"tamil-nadu","perambalur district","2686","3830803.0"
"bihar","sheikhpura district","2675","3484926.0"
"telangana","peddapalli district","2660","4128084.0"
"telangana","warangal district","2653","3374158.0"
"karnataka","vijayanagara district","2620","3811659.0"
"madhya-pradesh","datia district","2599","4132627.0"
"ladakh","leh ladakh district","2598","6025872.0"
"assam","chirang district","2593","4038732.0"
"madhya-pradesh","panna district","2579","3903395.0"
"jharkhand","gumla district","2575","4137898.0"
"bihar","arwal district","2527","3464754.0"
"gujarat","devbhumi dwarka district","2524","4308085.0"
"jammu-&-kashmir","rajouri district","2514","5246253.0"
"mizoram","aizawl district","2493","3348153.0"
"gujarat","banaskantha district","2479","4398547.0"
"chhattisgarh","bemetara district","2472","3746980.0"
"punjab","moga district","2425","5415232.0"
"bihar","sheohar district","2424","2654384.0"
"jharkhand","sahebganj district","2404","3098462.0"
"sikkim","east district","2394","5123409.0"
"chhattisgarh","kabirdham district","2392","3337771.0"
"andhra-pradesh","palnadu district","2377","3002950.0"
"meghalaya","west garo hills district","2364","4853139.0"
"andhra-pradesh","annamayya district","2353","4154707.0"
"uttarakhand","chamoli district","2347","4647334.0"
"madhya-pradesh","dindori district","2344","3314144.0"
"madhya-pradesh","tikamgarh district","2334","3271429.0"
"tripura","gomati district","2333","3115513.0"
"madhya-pradesh","burhanpur district","2332","3472982.0"
"odisha","jajpur district","2326","3127988.0"
"himachal-pradesh","bilaspur district","2314","4801907.0"
"odisha","baleswar district","2304","2948852.0"
"tamil-nadu","thoothukudi district","2298","3421444.0"
"chhattisgarh","dantewada district","2286","3724335.0"
"odisha","nuapada district","2279","3630561.0"
"uttar-pradesh","chitrakoot district","2264","3865568.0"
"uttar-pradesh","mahoba district","2255","3687916.0"
"jharkhand","khunti district","2249","3565933.0"
"tripura","north tripura district","2244","3378715.0"
"rajasthan","jodhpur rural district","2190","4252785.0"
"jharkhand","lohardaga district","2183","2461328.0"
"jammu-&-kashmir","kupwara district","2182","4929005.0"
"tripura","south tripura district","2180","2904411.0"
"chhattisgarh","kondagaon district","2173","3241342.0"
"punjab","faridkot district","2119","3913929.0"
"telangana","mulugu district","2114","2538916.0"
"jammu-&-kashmir","reasi district","2111","4010071.0"
"andhra-pradesh","dr br ambedkar konaseema district","2085","2853176.0"
"rajasthan","neem ka thana district","2078","3492356.0"
"telangana","narayanpet district","2053","2473096.0"
"punjab","sri muktsar sahib district","2046","4487627.0"
"madhya-pradesh","umaria district","2035","2839772.0"
"madhya-pradesh","agar malwa district","2024","2747868.0"
"chhattisgarh","balrampur district","2007","3057912.0"
"tripura","sepahijala district","1995","2803639.0"
"gujarat","mahisagar district","1977","3183065.0"
"andhra-pradesh","bapatla district","1972","2896764.0"
"jharkhand","pakur district","1858","2247870.0"
"jharkhand","simdega district","1849","2795617.0"
"jammu-&-kashmir","doda district","1841","4059664.0"
"jharkhand","hazaribag district","1834","2782279.0"
"gujarat","botad district","1825","2652713.0"
"odisha","sonepur district","1820","2250048.0"
"madhya-pradesh","ashoknagar district","1806","2986952.0"
"andhra-pradesh","sri sathyasai district","1800","3249831.0"
"uttar-pradesh","raebareli district","1777","2948657.0"
"jharkhand","jamtara district","1768","2346904.0"
"chhattisgarh","gariyaband district","1738","1947881.0"
"uttarakhand","champawat district","1691","2956017.0"
"rajasthan","deedwana kuchaman district","1682","3385360.0"
"jammu-&-kashmir","poonch district","1680","3587237.0"
"haryana","nuh district","1669","2430276.0"
"uttarakhand","uttarkashi district","1657","2831421.0"
"maharashtra","dharashiv district","1641","3654058.0"
"tripura","dhalai district","1612","2439681.0"
"uttar-pradesh","bagpat district","1591","2811880.0"
"madhya-pradesh","alirajpur district","1571","1747301.0"
"odisha","boudh district","1563","2022638.0"
"jammu-&-kashmir","kulgam district","1560","3901362.0"
"madhya-pradesh","narmadapuram district","1544","3033744.0"
"karnataka","chamarajanagar district","1534","2775533.0"
"andhra-pradesh","nandyal district","1526","2487189.0"
"gujarat","narmada district","1469","2508991.0"
"chhattisgarh","mungeli district","1465","1819088.0"
"madhya-pradesh","sheopur district","1455","2155662.0"
"rajasthan","beawar district","1431","2247229.0"
"madhya-pradesh","niwari district","1427","2481972.0"
"punjab","barnala district","1410","3091314.0"
"karnataka","yadgiri district","1367","2070936.0"
"chhattisgarh","bijapur district","1362","2035297.0"
"assam","dima hasao district","1355","2627610.0"
"tripura","unakoti district","1335","1935450.0"
"uttarakhand","rudraprayag district","1329","2455104.0"
"tamil-nadu","tiruvarur district","1324","1716378.0"
"jammu-&-kashmir","ganderbal district","1312","2260155.0"
"uttar-pradesh","lakhimpur kheri district","1290","2092844.0"
"punjab","shahid bhagat singh nagar district","1285","2528956.0"
"uttar-pradesh","barabanki district","1281","2230112.0"
"chhattisgarh","sukma district","1280","1792924.0"
"telangana","mahabubnagar district","1280","2326985.0"
"jammu-&-kashmir","kishtwar district","1277","2565978.0"
"uttar-pradesh","shravasti district","1274","1957060.0"
"jammu-&-kashmir","shopian district","1269","2777631.0"
"rajasthan","balotra district","1241","1961985.0"
"tripura","khowai district","1237","1750262.0"
"west-bengal","kalimpong district","1236","2595786.0"
"andaman-&-nicobar-islands","north and middle andaman district","1217","2233920.0"
"gujarat","chhotaudepur district","1207","1854035.0"
"odisha","jagatsinghpur district","1203","1605823.0"
"uttarakhand","bageshwar district","1195","1974588.0"
"gujarat","panchmahals district","1183","1991045.0"
"tamil-nadu","mayiladuthurai district","1168","1649504.0"
"tamil-nadu","kallakurichi district","1147","1592658.0"
"manipur","imphal west district","1143","2240305.0"
"rajasthan","anupgarh district","1095","2562334.0"
"odisha","deogarh district","1060","1407960.0"
"jammu-&-kashmir","bandipore district","1055","2542483.0"
"gujarat","sabarkantha district","1025","1922606.0"
"madhya-pradesh","khandwa district","1021","1852743.0"
"arunachal-pradesh","west kameng district","1019","2455005.0"
"meghalaya","ribhoi district","1011","1712093.0"
"rajasthan","gangapur city district","989","1298922.0"
"jammu-&-kashmir","ramban district","980","2342438.0"
"chhattisgarh","balodabazar bhatapara district","972","1391820.0"
"assam","south salmara mancachar district","967","1269564.0"
"gujarat","dahod district","955","1571136.0"
"puducherry","mahe district","919","1410372.0"
"chhattisgarh","narayanpur district","890","1422209.0"
"assam","majuli district","851","1524064.0"
"rajasthan","sanchore district","844","2015236.0"
"uttar-pradesh","sant kabir nagar district","818","1559987.0"
"andhra-pradesh","parvathipuram manyam district","813","919941.0"
"rajasthan","deeg district","796","1207644.0"
"chhattisgarh","north bastar kanker district","755","1641731.0"
"manipur","imphal east district","755","1346809.0"
"madhya-pradesh","maihar district","751","1213625.0"
"bihar","kaimur district","747","1313726.0"
"ladakh","kargil district","740","1782461.0"
"assam","morigaon district","718","1224112.0"
"arunachal-pradesh","tawang district","697","1699754.0"
"punjab","ferozepur district","692","1474993.0"
"arunachal-pradesh","east siang district","680","1552793.0"
"sikkim","south district","668","1345333.0"
"telangana","jayashankar bhupalpally district","662","1155142.0"
"jharkhand","sahibganj district","640","801745.0"
"andhra-pradesh","alluri sitharama raju district","637","757855.0"
"rajasthan","shahpura district","635","1098305.0"
"gujarat","aravalli district","631","1234202.0"
"himachal-pradesh","kinnaur district","617","1576297.0"
"arunachal-pradesh","changlang district","615","1349883.0"
"rajasthan","phalodi district","569","1057941.0"
"puducherry","yanam district","565","806968.0"
"assam","west karbi anglong district","557","918427.0"
"nagaland","kohima district","527","1045998.0"
"sikkim","gangtok district","517","1104523.0"
"rajasthan","kekri district","513","766547.0"
"lakshadweep","lakshadweep district","496","624037.0"
"andaman-&-nicobar-islands","nicobars district","492","903968.0"
"meghalaya","east jaintia hills district","486","724456.0"
"sikkim","west district","466","1210611.0"
"chhattisgarh","balrampur ramanujganj district","463","836256.0"
"chhattisgarh","sakti district","461","924819.0"
"arunachal-pradesh","itanagar capital complex district","458","1151584.0"
"arunachal-pradesh","lohit district","452","956042.0"
"arunachal-pradesh","west siang district","444","1134069.0"
"meghalaya","east garo hills district","423","1155173.0"
"gujarat","the dangs district","423","799484.0"
"chhattisgarh","manendragarh chirmiri bharatpur district","422","811060.0"
"chhattisgarh","sarangarh bilaigarh district","408","590521.0"
"rajasthan","dudu district","406","634830.0"
"madhya-pradesh","pandhurna district","394","650844.0"
"arunachal-pradesh","namsai district","390","918158.0"
"rajasthan","salumber district","388","634658.0"
"arunachal-pradesh","lower dibang valley district","388","811263.0"
"chhattisgarh","gariaband district","377","490486.0"
"odisha","subarnapur district","373","577210.0"
"meghalaya","south garo hills district","373","864109.0"
"arunachal-pradesh","tirap district","362","972015.0"
"meghalaya","north garo hills district","350","769206.0"
"madhya-pradesh","mauganj district","326","520778.0"
"meghalaya","ri bhoi district","320","600988.0"
"sikkim","north district","308","792953.0"
"assam","south salmara mankachar district","307","423203.0"
"nagaland","mokokchung district","300","868456.0"
"mizoram","lunglei district","297","480931.0"
"punjab","shaheed bhagat singh nagar district","287","665296.0"
"meghalaya","south west garo hills district","281","625392.0"
"manipur","kangpokpi district","275","583553.0"
"manipur","thoubal district","267","417634.0"
"dadra-&-nagar-haveli-&-daman-&-diu","diu district","266","691905.0"
"manipur","churachandpur district","265","508139.0"
"manipur","bishnupur district","260","481471.0"
"arunachal-pradesh","lower subansiri district","260","477724.0"
"mizoram","lawngtlai district","244","424136.0"
"chhattisgarh","gaurela pendra marwahi district","232","308684.0"
"assam","bajali district","231","404737.0"
"meghalaya","west jaintia hills district","226","580985.0"
"chhattisgarh","khairagarh chhuikhadan gandai district","218","344276.0"
"mizoram","kolasib district","207","362339.0"
"nagaland","mon district","205","524475.0"
"assam","tamulpur district","203","320318.0"
"sikkim","pakyong district","198","470636.0"
"jammu-&-kashmir","mirpur district","192","398939.0"
"himachal-pradesh","lahul and spiti district","192","551206.0"
"punjab","malerkotla district","171","262193.0"
"mizoram","serchhip district","170","328199.0"
"arunachal-pradesh","east kameng district","168","236464.0"
"chhattisgarh","mohla manpur ambagarh chouki district","167","306493.0"
"arunachal-pradesh","upper subansiri district","160","295340.0"
"nagaland","chumoukedima district","152","271542.0"
"nagaland","wokha district","145","260735.0"
"meghalaya","west khasi hills district","144","314313.0"
"mizoram","mamit district","140","237125.0"
"arunachal-pradesh","upper siang district","135","339143.0"
"andaman-&-nicobar-islands","nicobar district","128","205233.0"
"manipur","jiribam district","127","288585.0"
"sikkim","namchi district","119","291281.0"
"arunachal-pradesh","lower siang district","117","302752.0"
"manipur","kakching district","115","197506.0"
"sikkim","mangan district","111","256142.0"
"manipur","senapati district","103","232635.0"
"manipur","ukhrul district","102","208628.0"
"manipur","chandel district","100","218193.0"
"arunachal-pradesh","longding district","97","296971.0"
"mizoram","champhai district","96","129859.0"
"gujarat","dangs district","95","265732.0"
"nagaland","tuensang district","93","215151.0"
"manipur","tengnoupal district","90","185003.0"
"nagaland","phek district","81","146081.0"
"arunachal-pradesh","lepa rada district","77","227910.0"
"manipur","tamenglong district","74","160223.0"
"himachal-pradesh","lahaul and spiti district","73","191488.0"
"nagaland","peren district","71","138761.0"
"sikkim","gyalshing district","69","177015.0"
"arunachal-pradesh","siang district","58","143415.0"
"nagaland","zunheboto district","56","101576.0"
"arunachal-pradesh","anjaw district","54","129344.0"
"sikkim","soreng district","46","111481.0"
"meghalaya","south west khasi hills district","43","98067.0"
"mizoram","saiha district","42","93931.0"
"arunachal-pradesh","kurung kumey district","38","51040.0"
"arunachal-pradesh","kamle district","38","56301.0"
"manipur","noney district","37","60351.0"
"arunachal-pradesh","pakke kessang district","37","58460.0"
"nagaland","kiphire district","30","48222.0"
"arunachal-pradesh","dibang valley district","29","79003.0"
"arunachal-pradesh","kra daadi district","28","26017.0"
"nagaland","longleng district","24","41475.0"
"jammu-&-kashmir","muzaffarabad district","23","43140.0"
"arunachal-pradesh","shi yomi district","21","56905.0"
"mizoram","siaha district","21","29959.0"
"manipur","kamjong district","15","21323.0"
"meghalaya","eastern west khasi hills district","12","22023.0"
"mizoram","saitual district","9","19861.0"
"nagaland","noklak district","5","5427.0"
"mizoram","khawzawl district","3","8037.0"
"nagaland","tseminyu district","3","8073.0"
"manipur","pherzawl district","3","96.0"
"nagaland","shamator district","2","11535.0"
"mizoram","hnahthial district","2","62.0"
