"state","transaction_type","total_transactions","total_amount"
"madhya-pradesh","Merchant payments","7820161481","3854263221364.5264"
"madhya-pradesh","Peer-to-peer payments","4970880064","14508640313014.062"
"madhya-pradesh","Recharge & bill payments","1258400165","746251136903.9211"
"madhya-pradesh","Others","14153114","9036407400.7916"
"madhya-pradesh","Financial Services","8581235","7088354343.513453"
"maharashtra","Merchant payments","19290166803","8677544010665.549"
"maharashtra","Peer-to-peer payments","10066546779","29931537860773.88"
"maharashtra","Recharge & bill payments","2579849902","1725300145871.857"
"maharashtra","Others","30939013","21420098318.483177"
"maharashtra","Financial Services","17706235","18393572341.905563"
"manipur","Peer-to-peer payments","36292029","159205716980.4734"
"manipur","Merchant payments","19708612","21274126763.483932"
"manipur","Recharge & bill payments","17070615","5549343137.0315695"
"manipur","Others","170293","122305928.78269134"
"manipur","Financial Services","108791","114142219.97202614"
"meghalaya","Peer-to-peer payments","40338214","129881715881.18285"
"meghalaya","Merchant payments","34294033","26975937914.326836"
"meghalaya","Recharge & bill payments","13783442","5481946091.673793"
"meghalaya","Others","127625","98779535.20327054"
"meghalaya","Financial Services","92105","105521785.09819633"
"mizoram","Peer-to-peer payments","9704017","38641129512.79177"
"mizoram","Merchant payments","5770520","5792668730.281625"
"mizoram","Recharge & bill payments","3936920","1593933972.4721742"
"mizoram","Financial Services","93469","48014944.22720252"
"mizoram","Others","30824","26356250.558611058"
"nagaland","Peer-to-peer payments","27239170","108900937983.50656"
"nagaland","Merchant payments","16834990","17846602647.77189"
"nagaland","Recharge & bill payments","10552174","3483154830.7444"
"nagaland","Others","79621","66104546.32482931"
"nagaland","Financial Services","62788","61791747.351608336"
"odisha","Merchant payments","4569191284","2253972203745.9775"
"odisha","Peer-to-peer payments","3594511382","9619481974929.11"
"odisha","Recharge & bill payments","742593354","382170846637.35535"
"odisha","Financial Services","6839811","4369473468.759513"
"odisha","Others","5391621","3987552751.4160266"
"puducherry","Merchant payments","97342542","51674865048.47386"
"puducherry","Peer-to-peer payments","55584308","174834312473.18613"
"puducherry","Recharge & bill payments","13328228","10520296759.627007"
"puducherry","Others","193145","130507044.20901734"
"puducherry","Financial Services","157074","157093078.7691039"
"punjab","Merchant payments","932432021","632955334530.4897"
"punjab","Peer-to-peer payments","613199492","2158304731095.7163"
"punjab","Recharge & bill payments","221425485","186924400135.08118"
"punjab","Others","3349769","2819459833.798919"
"punjab","Financial Services","2005730","2073884332.206515"
"rajasthan","Merchant payments","9262580721","4863057108656.713"
"rajasthan","Peer-to-peer payments","6347488971","20423661197376.582"
"rajasthan","Recharge & bill payments","1472513213","1036971193257.3922"
"rajasthan","Others","16617489","11560281255.030222"
"rajasthan","Financial Services","9337504","7985785713.521498"
"sikkim","Peer-to-peer payments","29619958","93063676052.11641"
"sikkim","Merchant payments","26283217","22013150598.414062"
"sikkim","Recharge & bill payments","9809202","3688445517.472967"
"sikkim","Financial Services","75227","110176487.39980324"
"sikkim","Others","73238","69953285.44622663"
"tamil-nadu","Merchant payments","4117671251","2046411568699.4019"
"tamil-nadu","Peer-to-peer payments","2863471004","9291231487600.186"
"tamil-nadu","Recharge & bill payments","797657259","584716319760.2968"
"tamil-nadu","Others","10116673","7155375292.223277"
"tamil-nadu","Financial Services","7469850","6704271296.425474"
"telangana","Merchant payments","14953817184","6753346861006.314"
"telangana","Peer-to-peer payments","9564940509","33367578287355.734"
"telangana","Recharge & bill payments","1626028524","1511426762295.2205"
"telangana","Others","18966305","12509043096.229996"
"telangana","Financial Services","10932070","11094676322.81597"
"tripura","Merchant payments","55294044","42113403899.0045"
"tripura","Peer-to-peer payments","46231303","149678747477.39407"
"tripura","Recharge & bill payments","18858491","8480548395.019573"
"tripura","Financial Services","229160","155111858.77493688"
"tripura","Others","225498","155596789.26998407"
"uttar-pradesh","Merchant payments","9959659787","5585026784834.542"
"uttar-pradesh","Peer-to-peer payments","6817234446","20183283526793.35"
"uttar-pradesh","Recharge & bill payments","1704650950","1086573885800.0344"
"uttar-pradesh","Others","27335311","17581760322.753143"
"uttar-pradesh","Financial Services","14723233","12746227149.182705"
"uttarakhand","Merchant payments","837500742","433912506568.7404"
"uttarakhand","Peer-to-peer payments","469748549","1397231630756.2144"
"uttarakhand","Recharge & bill payments","148144654","82345534030.16669"
"uttarakhand","Others","2119094","1523551513.8892305"
"uttarakhand","Financial Services","1324258","1475349145.3059883"
"west-bengal","Merchant payments","4146092486","2808020754952.1064"
"west-bengal","Peer-to-peer payments","3990109039","12192848219018.346"
"west-bengal","Recharge & bill payments","1026197465","565759292791.395"
"west-bengal","Others","14867449","10155372156.09417"
"west-bengal","Financial Services","14233248","7380670495.740814"
