"pincode","registered_users"
"121001","404005"
"560076","403229"
"560091","403117"
"410206","402926"
"834001","402901"
"517501","402860"
"201102","402243"
"411014","401712"
"110044","401386"
"110096","400907"
"121001","400549"
"560043","400445"
"121004","400283"
"411046","400085"
"500055","399763"
"560068","399638"
"302012","399537"
"560037","399487"
"211002","399277"
"302029","399051"
"500072","398987"
"400612","398960"
"110085","398902"
"505001","398822"
"110041","398712"
"411033","398622"
"201301","398548"
"143001","397926"
"560064","397825"
"201318","397777"
"431003","397653"
"500018","397544"
"110042","397341"
"421201","397304"
"421301","397244"
"247001","397234"
"334001","397226"
"110094","397220"
"250001","396593"
"394210","396571"
"421302","396179"
"505001","395915"
"301001","395851"
"248001","395756"
"201307","394532"
"800001","394289"
"560079","394054"
"121003","393759"
"110059","393571"
"248001","393181"
"311001","393041"
"560058","392240"
"110053","392197"
"560100","390945"
"201307","390571"
"482002","390557"
"834001","389874"
"122006","389674"
"121001","389655"
"411014","389628"
"500055","389544"
"121001","389395"
"560091","389038"
"560078","388154"
"283203","388080"
"560043","387698"
"411046","386363"
"201307","386339"
"560037","386148"
"110096","386108"
"201009","385906"
"395010","385846"
"122001","385555"
"500008","385469"
"395006","385040"
"411033","384994"
"211002","384968"
"505001","384924"
"201318","384922"
"560076","384794"
"560064","384740"
"302029","384732"
"505001","384152"
"560064","383980"
"410501","383878"
"302020","383775"
"400612","383749"
"248001","383460"
"500018","383392"
"431003","383292"
"110092","383095"
"410206","382909"
"421301","382867"
"334001","382863"
"110086","382858"
"247001","382408"
"201102","382248"
"250001","382212"
"110085","382113"
"110042","381910"
"394210","381175"
"110044","381041"
"122006","380881"
"482002","380585"
"560079","380293"
"110094","379346"
"302012","379201"
"244001","378979"
"401209","378785"
"143001","378399"
"311001","378300"
"421201","377989"
"110041","377721"
"482002","377496"
"201307","377174"
"121004","376910"
"395010","376223"
"411014","376210"
"121003","376201"
"500072","375272"
"834001","375215"
"560064","375125"
"283203","375071"
"560058","375004"
"121001","374984"
"500055","374770"
"110053","374689"
"800001","374585"
"560100","374427"
"560037","374285"
"411046","374188"
"311001","373875"
"302020","373776"
"560068","373446"
"500008","372524"
"560091","372516"
"560064","372461"
"411033","372363"
"560043","371881"
"395010","371485"
"201318","371461"
"505001","371132"
"560077","371055"
"500018","370648"
"302029","370502"
"431003","370416"
"395010","370335"
"400612","370074"
"421301","370025"
"248001","370003"
"211002","369972"
"247001","369754"
"250001","369729"
"122006","369482"
"201301","369425"
"401209","369412"
"110096","369272"
"560078","369096"
"560079","368803"
"560078","368213"
"121102","368037"
"202001","367824"
"500018","367299"
"560076","366934"
"482002","366740"
"394210","366153"
"110059","365614"
"311001","365520"
"421302","365506"
"244001","365266"
"411041","364919"
"110085","364644"
"110042","364573"
"411014","364299"
"201009","363860"
"395006","363595"
"823001","362262"
"201102","362067"
"834001","361778"
"410501","361651"
"410206","361639"
"500055","361585"
"201307","361474"
"122001","361360"
"110044","361314"
"411046","361178"
"800006","360950"
"110094","360554"
"560077","359760"
"502032","359459"
"560064","359424"
"110092","359376"
"500008","359269"
"421201","359195"
"500018","359170"
"560037","359061"
"121001","358891"
"560078","358626"
"201318","358519"
"492001","357857"
"302029","357851"
"302012","357814"
"143001","357742"
"395010","357734"
"311001","357727"
"110086","357590"
"121003","357581"
"110041","357509"
"121102","357453"
"248001","357372"
"560100","357272"
"211002","357229"
"560058","357187"
"431003","357173"
"411033","357121"
"421301","356662"
"141007","356363"
"122006","356317"
"110053","356138"
"250001","356132"
"400612","356058"
"247001","355869"
"560079","355839"
"411041","355795"
"560043","355534"
"505001","355528"
"560091","355350"
"302020","355254"
"500018","354983"
"202001","354474"
"800001","354049"
"517501","353573"
"455001","353539"
"482002","353272"
"121102","353060"
"394210","352544"
"121004","352312"
"560068","351484"
"110096","351480"
"244001","351270"
"823001","351211"
"311001","351000"
"500072","350832"
"500049","349918"
"502032","349744"
"411014","349702"
"411046","349377"
"455001","349278"
"122002","348511"
"500008","348271"
"500055","348217"
"800006","348192"
"560076","347942"
"500037","347922"
"560064","347749"
"110085","347243"
"141007","347108"
"560078","346840"
"110042","346285"
"834001","345775"
"492001","345337"
"431003","345051"
"395010","344989"
"201307","344791"
"302029","344591"
"124001","344353"
"560099","344219"
"560079","343905"
"421301","343824"
"211002","343690"
"141008","343651"
"560037","343521"
"122006","343512"
"455001","343451"
"845401","343290"
"452001","343271"
"201318","343249"
"250001","343215"
"302020","343084"
"247001","342913"
"201102","342842"
"248001","342610"
"400612","342471"
"110059","342152"
"110094","341936"
"121001","341866"
"301001","341602"
"482002","341355"
"411033","341226"
"517501","341202"
"202001","340875"
"110044","340833"
"395006","340436"
"500049","340428"
"201009","340418"
"560100","340381"
"121102","340148"
"500039","339858"
"421201","339622"
"560058","339550"
"121003","339295"
"560043","339294"
"244001","339288"
"505001","339255"
"410206","339230"
"500018","338708"
"394210","338493"
"560091","338150"
"410501","338109"
"495001","338017"
"311001","337956"
"110053","337770"
"500055","336960"
"122001","336803"
"201301","336709"
"110041","336405"
"334001","336357"
"455001","336282"
"122002","336248"
"452016","336239"
"500008","336097"
"110092","335783"
"143001","335748"
"500037","335655"
"800006","335209"
"302012","335006"
"411046","335006"
"500039","334964"
"124001","334784"
"560068","334481"
"141008","334375"
"411014","334370"
"110096","333973"
"560064","333488"
"560099","333137"
"492001","332868"
"110086","332618"
"302001","332348"
"122006","332314"
"395010","332086"
"800001","331994"
"302029","331769"
"452001","331435"
"800020","331336"
"313001","331295"
"211002","331246"
"302020","330864"
"845401","330558"
"431003","330549"
"110085","330413"
"123401","330274"
"560079","329552"
"421301","329184"
"301001","329131"
"500039","329117"
"834001","329046"
"202001","329040"
"324005","328907"
"421302","328833"
"482002","328764"
"517501","328762"
"250001","328666"
"247001","328252"
"201307","328207"
"560037","328206"
"124001","328089"
"110042","328052"
"500072","328018"
"121004","328000"
"452016","327901"
"474001","327803"
"560076","327691"
"400612","327401"
"121102","327330"
