"state","year","quarter","transactions"
"chandigarh",2020,1,"2262511"
"chandigarh",2020,2,"1528010"
"chandigarh",2020,3,"2158086"
"chandigarh",2020,4,"2912716"
"chandigarh",2021,1,"3970237"
"chandigarh",2021,2,"4417547"
"chandigarh",2021,3,"6649378"
"chandigarh",2021,4,"7898903"
"chandigarh",2022,1,"8600491"
"chandigarh",2022,2,"10772489"
"chandigarh",2022,3,"13478173"
"chandigarh",2022,4,"17904840"
"chandigarh",2023,1,"9815605"
"chandigarh",2023,2,"11553687"
"chandigarh",2023,3,"13052165"
"chandigarh",2023,4,"13280078"
"chandigarh",2024,1,"13155173"
"chandigarh",2024,2,"15940973"
"chandigarh",2024,3,"17708385"
"chandigarh",2024,4,"18528444"
"chhattisgarh",2018,1,"1891514"
"chhattisgarh",2018,2,"2816156"
"chhattisgarh",2018,3,"3859604"
"chhattisgarh",2018,4,"5365844"
"chhattisgarh",2019,1,"7887669"
"chhattisgarh",2019,2,"9389945"
"chhattisgarh",2019,3,"12243111"
"chhattisgarh",2019,4,"16305758"
"chhattisgarh",2020,1,"19523991"
"chhattisgarh",2020,2,"18820925"
"chhattisgarh",2020,3,"24148539"
"chhattisgarh",2020,4,"35529636"
"chhattisgarh",2021,1,"39436437"
"chhattisgarh",2021,2,"44689420"
"chhattisgarh",2021,3,"64237938"
"chhattisgarh",2021,4,"84717494"
"chhattisgarh",2022,1,"97413292"
"chhattisgarh",2022,2,"116584048"
"chhattisgarh",2022,3,"158252587"
"chhattisgarh",2022,4,"177960446"
"chhattisgarh",2023,1,"214748957"
"chhattisgarh",2023,2,"249931636"
"chhattisgarh",2023,3,"283492657"
"chhattisgarh",2023,4,"321876332"
"chhattisgarh",2024,1,"366176684"
"chhattisgarh",2024,2,"412047705"
"chhattisgarh",2024,3,"443640102"
"chhattisgarh",2024,4,"500655404"
"dadra & nagar haveli & daman & diu",2018,1,"148549"
"dadra & nagar haveli & daman & diu",2018,2,"202626"
"dadra & nagar haveli & daman & diu",2018,3,"289575"
"dadra & nagar haveli & daman & diu",2018,4,"404082"
"dadra & nagar haveli & daman & diu",2019,1,"661814"
"dadra & nagar haveli & daman & diu",2019,2,"489656"
"dadra & nagar haveli & daman & diu",2019,3,"638751"
"dadra & nagar haveli & daman & diu",2019,4,"768971"
"dadra & nagar haveli & daman & diu",2020,1,"878579"
"dadra & nagar haveli & daman & diu",2020,2,"973152"
"dadra & nagar haveli & daman & diu",2020,3,"1138312"
"dadra & nagar haveli & daman & diu",2020,4,"1817791"
"dadra & nagar haveli & daman & diu",2021,1,"1925244"
"dadra & nagar haveli & daman & diu",2021,2,"2125083"
"dadra & nagar haveli & daman & diu",2021,3,"3129470"
"dadra & nagar haveli & daman & diu",2021,4,"4157085"
"dadra & nagar haveli & daman & diu",2022,1,"4802803"
"dadra & nagar haveli & daman & diu",2022,2,"5759771"
"dadra & nagar haveli & daman & diu",2022,3,"6465621"
"dadra & nagar haveli & daman & diu",2022,4,"7189585"
"dadra & nagar haveli & daman & diu",2023,1,"11803985"
"dadra & nagar haveli & daman & diu",2023,2,"13357115"
"dadra & nagar haveli & daman & diu",2023,3,"15370328"
"dadra & nagar haveli & daman & diu",2023,4,"18302373"
"dadra & nagar haveli & daman & diu",2024,1,"21115009"
"dadra & nagar haveli & daman & diu",2024,2,"23393115"
"dadra & nagar haveli & daman & diu",2024,3,"25446270"
"dadra & nagar haveli & daman & diu",2024,4,"28463700"
"delhi",2018,1,"7122754"
"delhi",2018,2,"9373723"
"delhi",2018,3,"18547048"
"delhi",2018,4,"29187719"
"delhi",2019,1,"47007327"
"delhi",2019,2,"57171512"
"delhi",2019,3,"69537876"
"delhi",2019,4,"80744997"
"delhi",2020,1,"81747604"
"delhi",2020,2,"66042018"
"delhi",2020,3,"96491861"
"delhi",2020,4,"120540417"
"delhi",2021,1,"157359004"
"delhi",2021,2,"170157264"
"delhi",2021,3,"238760608"
"delhi",2021,4,"292683359"
"delhi",2022,1,"330999861"
"delhi",2022,2,"410634184"
"delhi",2022,3,"475592161"
"delhi",2022,4,"515203457"
"delhi",2023,1,"409753103"
"delhi",2023,2,"482138998"
"delhi",2023,3,"546706983"
"delhi",2023,4,"598150746"
"delhi",2024,1,"650734058"
"delhi",2024,2,"777540400"
"delhi",2024,3,"844844523"
"delhi",2024,4,"910543082"
"goa",2018,1,"160897"
"goa",2018,2,"229575"
"goa",2018,3,"339511"
"goa",2018,4,"514755"
"goa",2019,1,"738812"
"goa",2019,2,"768441"
"goa",2019,3,"1092416"
"goa",2019,4,"1515272"
"goa",2020,1,"1881237"
"goa",2020,2,"1482092"
"goa",2020,3,"1915531"
"goa",2020,4,"3801381"
"goa",2021,1,"5331549"
"goa",2021,2,"4710135"
"goa",2021,3,"6467763"
"goa",2021,4,"11088759"
"goa",2022,1,"12214098"
"goa",2022,2,"14216054"
"goa",2022,3,"13188687"
"goa",2022,4,"17192674"
"goa",2023,1,"24195070"
"goa",2023,2,"26530590"
"goa",2023,3,"26999728"
"goa",2023,4,"33460978"
"goa",2024,1,"35013987"
"goa",2024,2,"37000806"
"goa",2024,3,"36762111"
"goa",2024,4,"46131536"
"gujarat",2018,1,"5948775"
"gujarat",2018,2,"7745733"
"gujarat",2018,3,"11334149"
"gujarat",2018,4,"14733303"
"gujarat",2019,1,"24991451"
"gujarat",2019,2,"28981842"
"gujarat",2019,3,"38228649"
"gujarat",2019,4,"42547632"
"gujarat",2020,1,"47326417"
"gujarat",2020,2,"47420185"
"gujarat",2020,3,"59290179"
"gujarat",2020,4,"77828547"
"gujarat",2021,1,"94774565"
"gujarat",2021,2,"111841396"
"gujarat",2021,3,"149248407"
"gujarat",2021,4,"182987325"
"gujarat",2022,1,"210547146"
"gujarat",2022,2,"252052796"
"gujarat",2022,3,"303239732"
"gujarat",2022,4,"341156018"
"gujarat",2023,1,"362511326"
"gujarat",2023,2,"416922553"
"gujarat",2023,3,"479303590"
"gujarat",2023,4,"534115578"
"gujarat",2024,1,"606576671"
"gujarat",2024,2,"690395153"
"gujarat",2024,3,"757441250"
"gujarat",2024,4,"827374966"
"haryana",2018,1,"4480770"
"haryana",2018,2,"6150931"
"haryana",2018,3,"8262024"
"haryana",2018,4,"12950183"
