"state","year","quarter","transactions"
"punjab",2021,3,"42533489"
"punjab",2021,4,"52359360"
"punjab",2022,1,"57758302"
"punjab",2022,2,"72272823"
"punjab",2022,3,"84177897"
"punjab",2022,4,"91835180"
"punjab",2023,1,"96910821"
"punjab",2023,2,"117290289"
"punjab",2023,3,"132161181"
"punjab",2023,4,"142228995"
"punjab",2024,1,"142537179"
"punjab",2024,2,"171946137"
"punjab",2024,3,"187554720"
"punjab",2024,4,"199509220"
"rajasthan",2018,1,"7591690"
"rajasthan",2018,2,"9973697"
"rajasthan",2018,3,"14257098"
"rajasthan",2018,4,"20959723"
"rajasthan",2019,1,"43956040"
"rajasthan",2019,2,"50009286"
"rajasthan",2019,3,"67303617"
"rajasthan",2019,4,"85074242"
"rajasthan",2020,1,"102258812"
"rajasthan",2020,2,"101954656"
"rajasthan",2020,3,"149088676"
"rajasthan",2020,4,"190283435"
"rajasthan",2021,1,"252730919"
"rajasthan",2021,2,"287477039"
"rajasthan",2021,3,"400284753"
"rajasthan",2021,4,"487621597"
"rajasthan",2022,1,"564962220"
"rajasthan",2022,2,"661170150"
"rajasthan",2022,3,"767541360"
"rajasthan",2022,4,"865574848"
"rajasthan",2023,1,"921096686"
"rajasthan",2023,2,"1073459338"
"rajasthan",2023,3,"1237232167"
"rajasthan",2023,4,"1349472154"
"rajasthan",2024,1,"1599474007"
"rajasthan",2024,2,"1818855106"
"rajasthan",2024,3,"1935405035"
"rajasthan",2024,4,"2043469547"
"sikkim",2018,1,"44078"
"sikkim",2018,2,"74578"
"sikkim",2018,3,"108500"
"sikkim",2018,4,"154533"
"sikkim",2019,1,"240287"
"sikkim",2019,2,"388244"
"sikkim",2019,3,"552436"
"sikkim",2019,4,"767070"
"sikkim",2020,1,"528118"
"sikkim",2020,2,"517731"
"sikkim",2020,3,"596435"
"sikkim",2020,4,"735035"
"sikkim",2021,1,"800189"
"sikkim",2021,2,"976714"
"sikkim",2021,3,"1160594"
"sikkim",2021,4,"1584345"
"sikkim",2022,1,"1744302"
"sikkim",2022,2,"2322081"
"sikkim",2022,3,"2396758"
"sikkim",2022,4,"3058339"
"sikkim",2023,1,"3396128"
"sikkim",2023,2,"4412967"
"sikkim",2023,3,"4804937"
"sikkim",2023,4,"4857324"
"sikkim",2024,1,"5820146"
"sikkim",2024,2,"7188322"
"sikkim",2024,3,"7713781"
"sikkim",2024,4,"8916870"
"tamil nadu",2018,1,"6726622"
"tamil nadu",2018,2,"9992128"
"tamil nadu",2018,3,"15774078"
"tamil nadu",2018,4,"22457444"
"tamil nadu",2019,1,"32275045"
"tamil nadu",2019,2,"32171737"
"tamil nadu",2019,3,"41410183"
"tamil nadu",2019,4,"56596411"
"tamil nadu",2020,1,"66953473"
"tamil nadu",2020,2,"51870110"
"tamil nadu",2020,3,"70277825"
"tamil nadu",2020,4,"111179701"
"tamil nadu",2021,1,"136556674"
"tamil nadu",2021,2,"146158442"
"tamil nadu",2021,3,"204357404"
"tamil nadu",2021,4,"259155976"
"tamil nadu",2022,1,"294573150"
"tamil nadu",2022,2,"354506937"
"tamil nadu",2022,3,"393496175"
"tamil nadu",2022,4,"436316636"
"tamil nadu",2023,1,"461212387"
"tamil nadu",2023,2,"498429638"
"tamil nadu",2023,3,"556085008"
"tamil nadu",2023,4,"593481381"
"tamil nadu",2024,1,"640327197"
"tamil nadu",2024,2,"705083686"
"tamil nadu",2024,3,"778536701"
"tamil nadu",2024,4,"820423888"
"telangana",2018,1,"8522766"
"telangana",2018,2,"10764670"
"telangana",2018,3,"19332703"
"telangana",2018,4,"28921154"
"telangana",2019,1,"65290702"
"telangana",2019,2,"89610379"
"telangana",2019,3,"121495376"
"telangana",2019,4,"163572258"
"telangana",2020,1,"199409525"
"telangana",2020,2,"152055143"
"telangana",2020,3,"236372126"
"telangana",2020,4,"343643787"
"telangana",2021,1,"412572110"
"telangana",2021,2,"495867544"
"telangana",2021,3,"622886768"
"telangana",2021,4,"775989773"
"telangana",2022,1,"886453385"
"telangana",2022,2,"1063382557"
"telangana",2022,3,"1628165401"
"telangana",2022,4,"1819506832"
"telangana",2023,1,"1440331458"
"telangana",2023,2,"1665430971"
"telangana",2023,3,"1875045924"
"telangana",2023,4,"2020822178"
"telangana",2024,1,"2179385307"
"telangana",2024,2,"2417264357"
"telangana",2024,3,"2610137835"
"telangana",2024,4,"2822451603"
"tripura",2018,1,"148157"
"tripura",2018,2,"214559"
"tripura",2018,3,"377703"
"tripura",2018,4,"448059"
"tripura",2019,1,"580926"
"tripura",2019,2,"532558"
"tripura",2019,3,"711717"
"tripura",2019,4,"801824"
"tripura",2020,1,"924502"
"tripura",2020,2,"1052520"
"tripura",2020,3,"1317885"
"tripura",2020,4,"1651890"
"tripura",2021,1,"1511423"
"tripura",2021,2,"1744429"
"tripura",2021,3,"2081200"
"tripura",2021,4,"2520693"
"tripura",2022,1,"2871190"
"tripura",2022,2,"3418664"
"tripura",2022,3,"4256579"
"tripura",2022,4,"5198190"
"tripura",2023,1,"7118687"
"tripura",2023,2,"7929543"
"tripura",2023,3,"9108762"
"tripura",2023,4,"10140910"
"tripura",2024,1,"11042639"
"tripura",2024,2,"12787547"
"tripura",2024,3,"14400581"
"tripura",2024,4,"15945159"
"uttar pradesh",2018,1,"12537805"
"uttar pradesh",2018,2,"17710943"
"uttar pradesh",2018,3,"26515356"
"uttar pradesh",2018,4,"36100767"
"uttar pradesh",2019,1,"57324504"
"uttar pradesh",2019,2,"58883500"
"uttar pradesh",2019,3,"68623959"
"uttar pradesh",2019,4,"86905005"
"uttar pradesh",2020,1,"97239132"
"uttar pradesh",2020,2,"100851965"
"uttar pradesh",2020,3,"127405259"
"uttar pradesh",2020,4,"178167517"
"uttar pradesh",2021,1,"204499547"
"uttar pradesh",2021,2,"241949131"
"uttar pradesh",2021,3,"306543384"
"uttar pradesh",2021,4,"406157932"
"uttar pradesh",2022,1,"473953246"
"uttar pradesh",2022,2,"595298776"
"uttar pradesh",2022,3,"703589072"
"uttar pradesh",2022,4,"836369071"
"uttar pradesh",2023,1,"1002557722"
"uttar pradesh",2023,2,"1211410582"
"uttar pradesh",2023,3,"1354622466"
"uttar pradesh",2023,4,"1566705382"
"uttar pradesh",2024,1,"1785296948"
"uttar pradesh",2024,2,"2135538658"
"uttar pradesh",2024,3,"2285955833"
"uttar pradesh",2024,4,"2544890265"
"uttarakhand",2018,1,"1246685"
"uttarakhand",2018,2,"1704122"
"uttarakhand",2018,3,"2229132"
"uttarakhand",2018,4,"3178761"
"uttarakhand",2019,1,"5546001"
"uttarakhand",2019,2,"4813275"
"uttarakhand",2019,3,"5710476"
"uttarakhand",2019,4,"7362116"
"uttarakhand",2020,1,"9131784"
"uttarakhand",2020,2,"9047770"
"uttarakhand",2020,3,"11818935"
"uttarakhand",2020,4,"17613271"
"uttarakhand",2021,1,"20608402"
"uttarakhand",2021,2,"24000432"
"uttarakhand",2021,3,"31042284"
"uttarakhand",2021,4,"40361280"
"uttarakhand",2022,1,"44560772"
"uttarakhand",2022,2,"58166878"
"uttarakhand",2022,3,"63996519"
"uttarakhand",2022,4,"77983880"
"uttarakhand",2023,1,"79385675"
"uttarakhand",2023,2,"102758214"
"uttarakhand",2023,3,"106284687"
"uttarakhand",2023,4,"118071440"
"uttarakhand",2024,1,"123234577"
"uttarakhand",2024,2,"158564982"
"uttarakhand",2024,3,"159278815"
"uttarakhand",2024,4,"171136132"
"west bengal",2018,1,"11710225"
"west bengal",2018,2,"18082446"
"west bengal",2018,3,"53705416"
"west bengal",2018,4,"36513548"
"west bengal",2019,1,"47626388"
"west bengal",2019,2,"47023535"
"west bengal",2019,3,"66444829"
"west bengal",2019,4,"96805838"
"west bengal",2020,1,"66250381"
"west bengal",2020,2,"57676797"
"west bengal",2020,3,"79954504"
"west bengal",2020,4,"100340645"
"west bengal",2021,1,"118254052"
"west bengal",2021,2,"141897437"
"west bengal",2021,3,"181712988"
"west bengal",2021,4,"225029560"
"west bengal",2022,1,"260505092"
"west bengal",2022,2,"315742141"
"west bengal",2022,3,"356792388"
"west bengal",2022,4,"405847597"
"west bengal",2023,1,"459278344"
"west bengal",2023,2,"545317686"
"west bengal",2023,3,"632093191"
"west bengal",2023,4,"737953238"
"west bengal",2024,1,"836408587"
"west bengal",2024,2,"980480707"
"west bengal",2024,3,"1084916445"
"west bengal",2024,4,"1227135682"
