"state","district","total_registrations"
"gujarat","the dangs district","472684"
"nagaland","mon district","470526"
"nagaland","mokokchung district","464645"
"tamil-nadu","mayiladuthurai district","462212"
"jammu-&-kashmir","kishtwar district","455957"
"meghalaya","east jaintia hills district","447599"
"assam","west karbi anglong district","444520"
"assam","majuli district","441171"
"arunachal-pradesh","lohit district","434345"
"chhattisgarh","balrampur ramanujganj district","410797"
"chhattisgarh","sarangarh bilaigarh district","409336"
"puducherry","yanam district","396163"
"odisha","subarnapur district","388951"
"manipur","kakching district","385764"
"arunachal-pradesh","tawang district","379784"
"telangana","jayashankar bhupalpally district","363888"
"sikkim","north district","360195"
"arunachal-pradesh","itanagar capital complex district","358018"
"dadra-&-nagar-haveli-&-daman-&-diu","diu district","356931"
"arunachal-pradesh","namsai district","352393"
"assam","south salmara mankachar district","347114"
"arunachal-pradesh","west siang district","342403"
"mizoram","lunglei district","332389"
"chhattisgarh","gariaband district","331082"
"madhya-pradesh","mauganj district","286818"
"rajasthan","salumber district","284747"
"sikkim","gangtok district","284290"
"rajasthan","dudu district","279334"
"puducherry","mahe district","278792"
"nagaland","wokha district","276884"
"meghalaya","west jaintia hills district","276433"
"manipur","ukhrul district","276205"
"madhya-pradesh","pandhurna district","276109"
"mizoram","lawngtlai district","267348"
"arunachal-pradesh","lower dibang valley district","267179"
"arunachal-pradesh","lower subansiri district","262981"
"chhattisgarh","manendragarh chirmiri bharatpur district","260408"
"punjab","shaheed bhagat singh nagar district","260205"
"nagaland","tuensang district","258164"
"andaman-&-nicobar-islands","north and middle andaman district","247712"
"punjab","malerkotla district","236994"
"arunachal-pradesh","tirap district","232866"
"manipur","tamenglong district","228432"
"nagaland","phek district","226131"
"meghalaya","south west garo hills district","224590"
"chhattisgarh","gaurela pendra marwahi district","222511"
"meghalaya","north garo hills district","220842"
"arunachal-pradesh","upper subansiri district","217962"
"meghalaya","east garo hills district","210495"
"mizoram","kolasib district","198077"
"chhattisgarh","khairagarh chhuikhadan gandai district","196312"
"manipur","chandel district","188292"
"nagaland","zunheboto district","180620"
"meghalaya","south garo hills district","180532"
"manipur","tengnoupal district","170926"
"manipur","jiribam district","162237"
"meghalaya","west khasi hills district","149590"
"mizoram","mamit district","149222"
"mizoram","champhai district","146987"
"lakshadweep","lakshadweep district","142697"
"nagaland","chumoukedima district","141790"
"jammu-&-kashmir","mirpur district","140657"
"arunachal-pradesh","east kameng district","137988"
"arunachal-pradesh","longding district","134199"
"nagaland","peren district","132415"
"meghalaya","ri bhoi district","128121"
"chhattisgarh","mohla manpur ambagarh chouki district","125325"
"assam","tamulpur district","124228"
"arunachal-pradesh","upper siang district","121966"
"nagaland","kiphire district","118180"
"sikkim","namchi district","115837"
"arunachal-pradesh","lower siang district","114705"
"mizoram","serchhip district","112802"
"himachal-pradesh","lahul and spiti district","104384"
"manipur","noney district","104026"
"sikkim","pakyong district","102172"
"nagaland","longleng district","101694"
"arunachal-pradesh","lepa rada district","94626"
"assam","bajali district","91432"
"gujarat","dangs district","91084"
"arunachal-pradesh","siang district","90367"
"arunachal-pradesh","anjaw district","87108"
"manipur","senapati district","78841"
"mizoram","saiha district","65424"
"meghalaya","south west khasi hills district","51111"
"sikkim","mangan district","48528"
"sikkim","gyalshing district","48188"
"manipur","kamjong district","44764"
"arunachal-pradesh","kurung kumey district","43510"
"arunachal-pradesh","kra daadi district","43254"
"andaman-&-nicobar-islands","nicobars district","41665"
"sikkim","soreng district","34044"
"himachal-pradesh","lahaul and spiti district","33078"
"arunachal-pradesh","kamle district","30398"
"arunachal-pradesh","pakke kessang district","22810"
"arunachal-pradesh","dibang valley district","22037"
"manipur","pherzawl district","18356"
"arunachal-pradesh","shi yomi district","16753"
"andaman-&-nicobar-islands","nicobar district","15193"
"mizoram","siaha district","14430"
"jammu-&-kashmir","muzaffarabad district","12756"
"mizoram","saitual district","9503"
"meghalaya","eastern west khasi hills district","8907"
"mizoram","hnahthial district","5729"
"mizoram","khawzawl district","5604"
"nagaland","noklak district","5447"
"nagaland","shamator district","4068"
"nagaland","tseminyu district","3556"
"nagaland","niuland district","85"
