"state","district","registered_users"
"maharashtra","nashik district","3867938"
"haryana","gurugram district","3846607"
"telangana","hyderabad district","3839513"
"uttar-pradesh","gautam buddha nagar district","3820774"
"bihar","patna district","3796825"
"telangana","medchal malkajgiri district","3787461"
"west-bengal","north twenty four parganas district","3755017"
"gujarat","surat district","3747780"
"maharashtra","nashik district","3747440"
"andhra-pradesh","visakhapatnam district","3732544"
"maharashtra","thane district","3727358"
"telangana","rangareddy district","3722676"
"haryana","gurugram district","3707352"
"uttar-pradesh","gautam buddha nagar district","3694806"
"bihar","patna district","3685436"
"rajasthan","jaipur district","3679874"
"gujarat","ahmadabad district","3679243"
"uttar-pradesh","lucknow district","3675410"
"telangana","medchal malkajgiri district","3628619"
"maharashtra","mumbai suburban district","3609970"
"maharashtra","nashik district","3606029"
"telangana","hyderabad district","3598337"
"andhra-pradesh","east godavari district","3597667"
"bihar","patna district","3591041"
"uttar-pradesh","ghaziabad district","3585148"
"west-bengal","north twenty four parganas district","3578500"
"haryana","gurugram district","3572322"
"gujarat","surat district","3567767"
"andhra-pradesh","visakhapatnam district","3566854"
"uttar-pradesh","lucknow district","3565800"
"uttar-pradesh","gautam buddha nagar district","3562632"
"madhya-pradesh","indore district","3561408"
"andhra-pradesh","krishna district","3552494"
"telangana","rangareddy district","3523496"
"maharashtra","pune district","3514081"
"andhra-pradesh","guntur district","3508719"
"uttar-pradesh","ghaziabad district","3496832"
"maharashtra","nashik district","3481028"
"west-bengal","kolkata district","3476288"
"andhra-pradesh","east godavari district","3465605"
"bihar","patna district","3464540"
"telangana","medchal malkajgiri district","3463208"
"madhya-pradesh","indore district","3457022"
"tamil-nadu","chennai district","3447286"
"gujarat","ahmadabad district","3445024"
"maharashtra","nagpur district","3435039"
"uttar-pradesh","gautam buddha nagar district","3434422"
"rajasthan","jaipur district","3433167"
"uttar-pradesh","lucknow district","3433006"
"andhra-pradesh","krishna district","3423998"
"haryana","gurugram district","3416098"
"west-bengal","kolkata district","3404100"
"maharashtra","thane district","3401853"
"west-bengal","north twenty four parganas district","3397791"
"andhra-pradesh","visakhapatnam district","3397514"
