"state","district","registered_users"
"telangana","peddapalli district","460674"
"andhra-pradesh","ysr district","460590"
"tamil-nadu","viluppuram district","460488"
"punjab","sas nagar district","460416"
"delhi","shahdara district","460186"
"tamil-nadu","tirunelveli district","460086"
"madhya-pradesh","khargone district","460046"
"uttarakhand","nainital district","460046"
"karnataka","chikkaballapura district","459988"
"haryana","jind district","459846"
"rajasthan","balotra district","459816"
"punjab","jalandhar district","459789"
"madhya-pradesh","betul district","459626"
"west-bengal","koch bihar district","459613"
"telangana","karimnagar district","459407"
"rajasthan","hanumangarh district","459397"
"tamil-nadu","kallakkurichi district","459356"
"tamil-nadu","tiruvannamalai district","459291"
"madhya-pradesh","khandwa district","459231"
"bihar","jamui district","459115"
"uttar-pradesh","sitapur district","459091"
"karnataka","chikkamagaluru district","459072"
"rajasthan","bikaner district","458961"
"uttar-pradesh","chandauli district","458678"
"tamil-nadu","ranipet district","458650"
"karnataka","mandya district","458538"
"maharashtra","ratnagiri district","458493"
"punjab","bathinda district","458473"
"west-bengal","alipurduar district","458214"
"karnataka","vijayapura district","458119"
"odisha","dhenkanal district","458017"
"madhya-pradesh","chhatarpur district","458009"
"bihar","nawada district","457961"
"odisha","balangir district","457944"
"kerala","kannur district","457911"
"madhya-pradesh","satna district","457858"
"west-bengal","darjiling district","457833"
"telangana","mahbubnagar district","457781"
"haryana","kurukshetra district","457631"
"telangana","warangal urban district","457591"
"assam","dhubri district","457560"
"kerala","kasargod district","457485"
"himachal-pradesh","solan district","457393"
"odisha","jagatsinghapur district","457355"
"jammu-&-kashmir","srinagar district","457327"
"madhya-pradesh","shivpuri district","457156"
"west-bengal","uttar dinajpur district","457144"
"bihar","nalanda district","457143"
"telangana","peddapalle district","457038"
"assam","kamrup metropolitan district","457023"
"madhya-pradesh","morena district","456927"
"punjab","amritsar district","456913"
"tamil-nadu","virudhunagar district","456735"
"haryana","sirsa district","456583"
"bihar","araria district","456566"
"haryana","rohtak district","456537"
"tamil-nadu","madurai district","456527"
"uttarakhand","udham singh nagar district","456356"
"goa","north goa district","456250"
"madhya-pradesh","bhind district","456163"
"west-bengal","bankura district","456100"
"maharashtra","gondia district","455975"
"telangana","yadadri bhuvanagiri district","455826"
"karnataka","kalaburagi district","455786"
"chhattisgarh","raipur district","455785"
"madhya-pradesh","katni district","455778"
"karnataka","raichur district","455771"
"maharashtra","bhandara district","455693"
"karnataka","shivamogga district","455648"
"karnataka","bengaluru rural district","455608"
"puducherry","puducherry district","455449"
"chhattisgarh","janjgir champa district","455430"
"west-bengal","paschim medinipur district","455417"
"jharkhand","hazaribagh district","455411"
"uttar-pradesh","meerut district","455353"
"uttar-pradesh","deoria district","455328"
"uttar-pradesh","basti district","455284"
"gujarat","patan district","455269"
"madhya-pradesh","narsinghpur district","455117"
"rajasthan","tonk district","455010"
"jharkhand","giridih district","454873"
"maharashtra","kolhapur district","454858"
"west-bengal","birbhum district","454807"
"bihar","banka district","454798"
"madhya-pradesh","rajgarh district","454742"
"madhya-pradesh","sehore district","454731"
"gujarat","anand district","454516"
"andhra-pradesh","east godavari district","454398"
"punjab","ludhiana district","454370"
"bihar","aurangabad district","454222"
"haryana","panipat district","454218"
"maharashtra","beed district","454108"
"bihar","saharsa district","454022"
"rajasthan","jalore district","454009"
"gujarat","surendranagar district","454008"
"haryana","hisar district","453910"
"telangana","mancherial district","453837"
"delhi","south district","453829"
"karnataka","hassan district","453802"
"bihar","supaul district","453594"
"maharashtra","dhule district","453563"
"haryana","rewari district","453500"
"uttar-pradesh","sonbhadra district","452947"
"maharashtra","ratnagiri district","452888"
"uttar-pradesh","bareilly district","452872"
"uttar-pradesh","rae bareli district","452768"
"haryana","kurukshetra district","452759"
"madhya-pradesh","balaghat district","452700"
"gujarat","valsad district","452628"
"telangana","jagtial district","452611"
"maharashtra","amravati district","452583"
"karnataka","haveri district","452477"
"rajasthan","churu district","452436"
"odisha","bhadrak district","452384"
"rajasthan","rajsamand district","452351"
"tamil-nadu","tirupathur district","452310"
"karnataka","dharwad district","452178"
"punjab","patiala district","452152"
"telangana","kamareddy district","452089"
"telangana","siddipet district","452034"
"maharashtra","bhandara district","451699"
"uttar-pradesh","ayodhya district","451594"
"odisha","jajapur district","451339"
"uttar-pradesh","hardoi district","451324"
"uttar-pradesh","hapur district","451187"
"odisha","mayurbhanj district","451049"
"punjab","sangrur district","451041"
"uttar-pradesh","prayagraj district","451019"
"maharashtra","osmanabad district","450897"
"uttar-pradesh","pratapgarh district","450876"
"jharkhand","palamu district","450874"
"odisha","sundargarh district","450776"
"uttar-pradesh","ambedkar nagar district","450694"
"gujarat","panchmahals district","450615"
"gujarat","sabar kantha district","450547"
"gujarat","bhavnagar district","450462"
"uttar-pradesh","unnao district","450382"
"chhattisgarh","korba district","450305"
"tamil-nadu","dharmapuri district","450260"
"bihar","bhojpur district","450190"
"maharashtra","parbhani district","450092"
"uttar-pradesh","mathura district","450042"
"telangana","peddapalli district","449992"
"madhya-pradesh","vidisha district","449990"
"tamil-nadu","vellore district","449961"
"uttar-pradesh","mau district","449760"
"telangana","nizamabad district","449731"
"tamil-nadu","erode district","449675"
"himachal-pradesh","kangra district","449619"
"tamil-nadu","kanniyakumari district","449614"
"haryana","mahendragarh district","449565"
"karnataka","kolar district","449470"
"rajasthan","baran district","449251"
"west-bengal","dakshin dinajpur district","449101"
"uttar-pradesh","gonda district","449058"
"uttarakhand","haridwar district","448939"
"west-bengal","purba medinipur district","448850"
"uttar-pradesh","gautam buddha nagar district","448768"
"odisha","koraput district","448739"
"uttar-pradesh","budaun district","448663"
"maharashtra","satara district","448644"
"chandigarh","chandigarh district","448572"
"uttar-pradesh","bara banki district","448406"
"haryana","yamunanagar district","448397"
"chhattisgarh","raigarh district","448366"
"odisha","kendrapara district","448239"
"uttar-pradesh","muzaffarnagar district","448096"
"karnataka","uttara kannada district","448070"
"karnataka","ramanagara district","448065"
"delhi","north district","447987"
"west-bengal","nadia district","447979"
"bihar","gaya district","447895"
"rajasthan","pali district","447779"
"karnataka","bagalkote district","447765"
"punjab","fazilka district","447755"
"bihar","kishanganj district","447722"
"gujarat","dahod district","447555"
"tamil-nadu","kancheepuram district","447527"
"madhya-pradesh","hoshangabad district","447376"
"karnataka","chitradurga district","447221"
"rajasthan","ganganagar district","447213"
"uttar-pradesh","varanasi district","447144"
"madhya-pradesh","dhar district","447074"
"jharkhand","bokaro district","446968"
"haryana","bhiwani district","446960"
"delhi","central district","446787"
"gujarat","kheda district","446779"
"gujarat","banas kantha district","446603"
"karnataka","gadag district","446478"
"uttar-pradesh","kheri district","446308"
"rajasthan","jhalawar district","446144"
"odisha","sambalpur district","446108"
"gujarat","jamnagar district","446015"
"uttar-pradesh","sultanpur district","445909"
"haryana","jhajjar district","445888"
"tamil-nadu","thanjavur district","445883"
"bihar","muzaffarpur district","445815"
"madhya-pradesh","dewas district","445758"
"kerala","malappuram district","445757"
"madhya-pradesh","singrauli district","445679"
"telangana","nagarkurnool district","445662"
"tamil-nadu","thoothukkudi district","445578"
"kerala","kottayam district","445540"
"haryana","ambala district","445403"
"jammu-&-kashmir","jammu district","445345"
"odisha","baleshwar district","445299"
"gujarat","gandhinagar district","445290"
"maharashtra","akola district","445026"
"rajasthan","karauli district","444935"
"uttar-pradesh","maharajganj district","444905"
"odisha","dhenkanal district","444835"
"tamil-nadu","ranipet district","444735"
"bihar","khagaria district","444571"
"maharashtra","wardha district","444462"
"rajasthan","balotra district","444377"
"telangana","suryapet district","444281"
"bihar","siwan district","444057"
"karnataka","koppal district","443983"
"rajasthan","bharatpur district","443923"
"andhra-pradesh","vizianagaram district","443810"
"west-bengal","jalpaiguri district","443804"
"uttar-pradesh","firozabad district","443735"
"jharkhand","ramgarh district","443708"
"tamil-nadu","tirunelveli district","443436"
"uttar-pradesh","ghazipur district","443311"
"tamil-nadu","namakkal district","443273"
"uttar-pradesh","shahjahanpur district","443182"
"madhya-pradesh","raisen district","443050"
"madhya-pradesh","guna district","443002"
"rajasthan","bhilwara district","442746"
"haryana","kurukshetra district","442674"
"uttarakhand","nainital district","442626"
"maharashtra","yavatmal district","442623"
"uttar-pradesh","bijnor district","442548"
"kerala","kollam district","442546"
"maharashtra","latur district","442532"
"maharashtra","buldhana district","442520"
"uttar-pradesh","ballia district","442509"
"chhattisgarh","bilaspur district","442330"
"madhya-pradesh","mandsaur district","442210"
"tamil-nadu","salem district","442045"
"telangana","sangareddy district","441944"
"maharashtra","jalna district","441936"
"haryana","palwal district","441872"
"haryana","mewat district","441859"
"rajasthan","bundi district","441859"
"jharkhand","ranchi district","441616"
"bihar","nawada district","441557"
"haryana","jind district","441504"
"rajasthan","kota district","441496"
"jharkhand","deoghar district","441349"
"tamil-nadu","kallakkurichi district","441130"
"haryana","sonipat district","441088"
"uttar-pradesh","mirzapur district","441082"
"karnataka","bidar district","441065"
"bihar","purnia district","440447"
"tamil-nadu","viluppuram district","440319"
"uttar-pradesh","chandauli district","440290"
"odisha","anugul district","440242"
"uttar-pradesh","aligarh district","440101"
"karnataka","gadag district","440092"
"odisha","kendujhar district","440078"
"maharashtra","ratnagiri district","440075"
"tamil-nadu","dindigul district","440072"
"madhya-pradesh","shivpuri district","440062"
"rajasthan","bundi district","439894"
"delhi","east district","439639"
"kerala","palakkad district","439597"
"madhya-pradesh","narsinghpur district","439580"
"karnataka","chikkamagaluru district","439498"
"maharashtra","ahmednagar district","439246"
"madhya-pradesh","bhind district","439197"
"punjab","bathinda district","439064"
"madhya-pradesh","khargone district","438987"
"maharashtra","gondia district","438946"
"kerala","alappuzha district","438924"
"maharashtra","ratnagiri district","438806"
"madhya-pradesh","betul district","438735"
"rajasthan","jhunjhunu district","438673"
"gujarat","patan district","438627"
"bihar","katihar district","438584"
"punjab","hoshiarpur district","438513"
"tamil-nadu","virudhunagar district","438503"
"odisha","balangir district","438473"
"west-bengal","paschim bardhaman district","438438"
"rajasthan","hanumangarh district","438430"
"telangana","bhadradri kothagudem district","438017"
"madhya-pradesh","chhatarpur district","438017"
"andhra-pradesh","srikakulam district","437939"
"telangana","mahbubnagar district","437901"
"telangana","yadadri bhuvanagiri district","437832"
"delhi","north east district","437601"
"rajasthan","nagaur district","437492"
"uttar-pradesh","kushinagar district","437393"
"uttar-pradesh","siddharthnagar district","437375"
"madhya-pradesh","ratlam district","437346"
"karnataka","udupi district","437345"
"kerala","idukki district","437328"
"bihar","saharsa district","437160"
"rajasthan","sawai madhopur district","436961"
"maharashtra","bhandara district","436738"
"maharashtra","nashik district","436668"
"odisha","jagatsinghapur district","436498"
"chhattisgarh","janjgir champa district","436349"
"jharkhand","dhanbad district","436201"
"rajasthan","jalore district","436182"
"rajasthan","dausa district","436073"
"madhya-pradesh","ujjain district","436068"
"puducherry","puducherry district","436067"
"telangana","peddapalle district","436008"
"rajasthan","chittorgarh district","435907"
"uttar-pradesh","rae bareli district","435763"
"andhra-pradesh","west godavari district","435668"
"uttar-pradesh","hapur district","435527"
"maharashtra","bhandara district","435479"
"bihar","supaul district","435405"
"madhya-pradesh","morena district","435365"
"bihar","munger district","435350"
"bihar","pashchim champaran district","435319"
"west-bengal","purulia district","435131"
"telangana","nalgonda district","435022"
"telangana","jagtial district","434964"
"bihar","araria district","434826"
"telangana","vikarabad district","434597"
"gujarat","surendranagar district","434391"
"tamil-nadu","tirupathur district","434375"
"jharkhand","east singhbhum district","434360"
"uttar-pradesh","kanpur nagar district","434315"
"jharkhand","giridih district","434250"
"rajasthan","jodhpur district","434178"
"uttar-pradesh","gorakhpur district","434172"
"uttar-pradesh","ghaziabad district","434115"
"uttar-pradesh","basti district","434060"
"haryana","sirsa district","434030"
"punjab","sangrur district","433927"
"bihar","rohtas district","433856"
"rajasthan","baran district","433833"
"uttar-pradesh","sonbhadra district","433764"
"himachal-pradesh","solan district","433753"
"maharashtra","chandrapur district","433697"
"maharashtra","jalgaon district","433653"
"telangana","mancherial district","433627"
"telangana","kamareddy district","433549"
"tamil-nadu","tiruchirappalli district","433221"
"maharashtra","hingoli district","433076"
"madhya-pradesh","rajgarh district","432979"
"bihar","banka district","432962"
"madhya-pradesh","sagar district","432938"
"gujarat","sabar kantha district","432909"
"madhya-pradesh","rewa district","432682"
"karnataka","haveri district","432627"
"haryana","rohtak district","432623"
"bihar","gopalganj district","432546"
"bihar","sitamarhi district","432514"
"chhattisgarh","korba district","432504"
"karnataka","mysuru district","432208"
"madhya-pradesh","balaghat district","432044"
"haryana","karnal district","432042"
"bihar","begusarai district","432035"
"andhra-pradesh","krishna district","431965"
"jharkhand","palamu district","431928"
"punjab","fazilka district","431814"
"uttar-pradesh","mau district","431774"
"uttar-pradesh","unnao district","431682"
"karnataka","gadag district","431568"
"odisha","puri district","431553"
"west-bengal","kolkata district","431481"
"bihar","purbi champaran district","431458"
"odisha","bargarh district","431398"
"haryana","yamunanagar district","431359"
"uttar-pradesh","hardoi district","431274"
"uttar-pradesh","jhansi district","431055"
"uttar-pradesh","ambedkar nagar district","430997"
"haryana","mahendragarh district","430911"
"maharashtra","sangli district","430878"
"goa","north goa district","430814"
"telangana","kamareddy district","430811"
"tamil-nadu","cuddalore district","430763"
"tamil-nadu","kanniyakumari district","430646"
"uttar-pradesh","budaun district","430560"
"uttar-pradesh","etawah district","430496"
"west-bengal","koch bihar district","430468"
"uttar-pradesh","mainpuri district","430293"
"madhya-pradesh","sehore district","430004"
"uttar-pradesh","bara banki district","429909"
"karnataka","chikkaballapura district","429845"
"rajasthan","tonk district","429840"
"bihar","kishanganj district","429609"
"tamil-nadu","thoothukkudi district","429581"
"bihar","aurangabad district","429493"
"west-bengal","dakshin dinajpur district","429466"
"karnataka","ballari district","429391"
"uttar-pradesh","gonda district","429376"
"telangana","nagarkurnool district","429268"
"jharkhand","ramgarh district","429178"
"uttar-pradesh","amethi district","429051"
"madhya-pradesh","singrauli district","428919"
"uttar-pradesh","moradabad district","428908"
"madhya-pradesh","vidisha district","428827"
"madhya-pradesh","chhindwara district","428800"
"tamil-nadu","tiruvannamalai district","428728"
"uttar-pradesh","sitapur district","428710"
"punjab","jalandhar district","428704"
"karnataka","tumakuru district","428605"
"west-bengal","darjiling district","428460"
"odisha","kendrapara district","428410"
"maharashtra","aurangabad district","428394"
"odisha","sambalpur district","428364"
"uttarakhand","dehradun district","428353"
"west-bengal","purba bardhaman district","428350"
"tamil-nadu","ranipet district","428318"
"bihar","bhagalpur district","428157"
"gujarat","jamnagar district","428091"
"bihar","vaishali district","428039"
"telangana","karimnagar district","428019"
"gujarat","mahesana district","427950"
"west-bengal","maldah district","427905"
"rajasthan","bundi district","427873"
"jharkhand","ramgarh district","427745"
"odisha","kalahandi district","427701"
"tamil-nadu","tiruppur district","427694"
"himachal-pradesh","kangra district","427676"
"west-bengal","jalpaiguri district","427529"
"gujarat","dahod district","427256"
"rajasthan","barmer district","427187"
"tamil-nadu","dharmapuri district","427150"
"madhya-pradesh","hoshangabad district","427054"
"karnataka","davanagere district","426961"
"madhya-pradesh","satna district","426929"
"rajasthan","ajmer district","426926"
"tamil-nadu","kallakurichi district","426859"
"odisha","dhenkanal district","426807"
"uttar-pradesh","sultanpur district","426458"
"uttar-pradesh","ayodhya district","426442"
"bihar","nalanda district","426419"
"odisha","mayurbhanj district","426398"
"tamil-nadu","tirunelveli district","426271"
"rajasthan","karauli district","426213"
"haryana","kurukshetra district","426182"
"gujarat","rajkot district","426178"
"rajasthan","jhalawar district","426153"
"chhattisgarh","durg district","426052"
"rajasthan","alwar district","426052"
"rajasthan","rajsamand district","425955"
"uttarakhand","nainital district","425816"
"telangana","siddipet district","425592"
"chhattisgarh","raigarh district","425526"
"karnataka","mandya district","425378"
"maharashtra","wardha district","425327"
"west-bengal","uttar dinajpur district","425320"
"delhi","shahdara district","425305"
"uttar-pradesh","pratapgarh district","425208"
"bihar","madhubani district","425154"
"bihar","patna district","425009"
"bihar","kaimur district","424919"
"tamil-nadu","theni district","424884"
"bihar","saran district","424821"
"haryana","kaithal district","424789"
"haryana","panchkula district","424737"
"punjab","hoshiarpur district","424706"
"bihar","samastipur district","424696"
"bihar","darbhanga district","424611"
"tamil-nadu","vellore district","424585"
"karnataka","koppal district","424581"
"uttar-pradesh","bulandshahr district","424578"
"uttar-pradesh","maharajganj district","424361"
"uttar-pradesh","deoria district","424347"
"jharkhand","hazaribagh district","424328"
"karnataka","raichur district","424252"
"gujarat","kheda district","424243"
"tamil-nadu","krishnagiri district","424184"
"kerala","idukki district","423915"
"madhya-pradesh","guna district","423812"
"gujarat","kachchh district","423729"
"haryana","bhiwani district","423595"
"uttar-pradesh","jaunpur district","423581"
"karnataka","gadag district","423575"
"bihar","nawada district","423566"
"jammu-&-kashmir","jammu district","423398"
"haryana","ambala district","423290"
"punjab","amritsar district","423283"
"delhi","south east delhi district","423177"
"rajasthan","bundi district","423170"
"haryana","panipat district","423131"
"odisha","bhadrak district","423068"
"karnataka","dakshina kannada district","423031"
"gujarat","bharuch district","423017"
"maharashtra","parbhani district","422969"
"gujarat","anand district","422965"
"bihar","madhepura district","422949"
"uttar-pradesh","sant kabir nagar district","422924"
"tamil-nadu","kallakkurichi district","422808"
"madhya-pradesh","jabalpur district","422786"
"maharashtra","gondia district","422621"
"madhya-pradesh","raisen district","422588"
"madhya-pradesh","mandsaur district","422561"
"uttar-pradesh","shahjahanpur district","422458"
"kerala","kasaragod district","422342"
"uttar-pradesh","rampur district","422262"
"haryana","jind district","422244"
"madhya-pradesh","narsinghpur district","422175"
"karnataka","uttara kannada district","422171"
"rajasthan","udaipur district","422167"
"bihar","bhojpur district","422123"
"punjab","sas nagar district","422041"
"telangana","warangal urban district","421970"
"gujarat","vadodara district","421895"
"uttar-pradesh","chandauli district","421886"
"punjab","patiala district","421866"
"karnataka","chikkamagaluru district","421862"
"odisha","balangir district","421788"
"maharashtra","ratnagiri district","421696"
"tamil-nadu","viluppuram district","421487"
"haryana","mewat district","421283"
"tamil-nadu","namakkal district","421279"
"uttar-pradesh","azamgarh district","421262"
"haryana","rewari district","421106"
"telangana","khammam district","421101"
"uttar-pradesh","mirzapur district","421064"
"maharashtra","osmanabad district","420827"
"telangana","suryapet district","420703"
"gujarat","patan district","420629"
"tamil-nadu","virudhunagar district","420518"
"madhya-pradesh","shivpuri district","420483"
"telangana","yadadri bhuvanagiri district","420473"
"maharashtra","dhule district","420452"
"madhya-pradesh","bhind district","420416"
"jharkhand","deoghar district","420404"
"andhra-pradesh","guntur district","420326"
"maharashtra","bhandara district","420322"
"madhya-pradesh","betul district","420313"
"punjab","bathinda district","420285"
"chandigarh","chandigarh district","419998"
"tamil-nadu","thanjavur district","419975"
"bihar","saharsa district","419775"
"bihar","supaul district","419755"
"uttar-pradesh","siddharthnagar district","419741"
"gujarat","bhavnagar district","419697"
"uttar-pradesh","saharanpur district","419510"
"madhya-pradesh","khargone district","419471"
"rajasthan","churu district","419405"
"maharashtra","solapur district","419060"
"jharkhand","garhwa district","419043"
"haryana","jhajjar district","418950"
"punjab","sangrur district","418793"
"uttar-pradesh","hapur district","418767"
"madhya-pradesh","chhatarpur district","418638"
"uttar-pradesh","amroha district","418496"
"uttarakhand","udham singh nagar district","418390"
"tamil-nadu","tirupathur district","418336"
"odisha","sundargarh district","418311"
"telangana","mahbubnagar district","418280"
"telangana","vikarabad district","418255"
"rajasthan","dholpur district","418181"
"gujarat","surendranagar district","418160"
"telangana","kamareddy district","418090"
"chhattisgarh","korba district","418027"
"maharashtra","hingoli district","417981"
"uttar-pradesh","sonbhadra district","417889"
"madhya-pradesh","gwalior district","417846"
"odisha","cuttack district","417809"
"uttar-pradesh","rae bareli district","417675"
"odisha","jajapur district","417525"
"haryana","hisar district","417164"
"karnataka","chitradurga district","417163"
"telangana","kamareddy district","417147"
"west-bengal","bankura district","417129"
"west-bengal","murshidabad district","417114"
"rajasthan","ganganagar district","417045"
"karnataka","ramanagara district","416739"
"rajasthan","baran district","416738"
"haryana","fatehabad district","416593"
"odisha","anugul district","416483"
"gujarat","navsari district","416240"
"telangana","jagtial district","416065"
"rajasthan","pali district","415885"
"rajasthan","hanumangarh district","415870"
"puducherry","puducherry district","415847"
"maharashtra","akola district","415627"
"west-bengal","birbhum district","415614"
"uttar-pradesh","muzaffarnagar district","415595"
"karnataka","bagalkote district","415594"
"madhya-pradesh","dewas district","415540"
"haryana","palwal district","415495"
"uttar-pradesh","kanpur dehat district","415414"
"rajasthan","jalore district","415385"
"gujarat","sabar kantha district","415319"
"bihar","munger district","415207"
"uttar-pradesh","budaun district","415170"
"madhya-pradesh","dhar district","415117"
"tamil-nadu","coimbatore district","415090"
"kerala","kottayam district","415007"
"haryana","yamunanagar district","414986"
"punjab","fazilka district","414974"
"maharashtra","palghar district","414825"
"bihar","araria district","414664"
"tamil-nadu","erode district","414616"
"uttar-pradesh","etawah district","414603"
"odisha","bargarh district","414483"
"andhra-pradesh","chittoor district","414306"
"uttar-pradesh","basti district","414256"
"uttar-pradesh","mainpuri district","414239"
"tamil-nadu","dindigul district","414158"
"chhattisgarh","janjgir champa district","414133"
"odisha","ganjam district","414068"
"odisha","jagatsinghapur district","414004"
"telangana","peddapalle district","413849"
"chhattisgarh","bilaspur district","413692"
"telangana","mancherial district","413504"
"madhya-pradesh","ratlam district","413474"
"uttar-pradesh","mau district","413361"
"gujarat","morbi district","413264"
"uttar-pradesh","hardoi district","413101"
"madhya-pradesh","rajgarh district","412875"
"jharkhand","palamu district","412757"
"tamil-nadu","thoothukkudi district","412660"
"madhya-pradesh","balaghat district","412637"
"uttar-pradesh","unnao district","412637"
"jharkhand","bokaro district","412560"
"rajasthan","sawai madhopur district","412482"
"uttar-pradesh","amethi district","412459"
"uttar-pradesh","firozabad district","412441"
"tamil-nadu","kallakurichi district","412372"
"rajasthan","sikar district","412367"
"karnataka","belagavi district","412265"
"maharashtra","nanded district","412138"
"karnataka","yadgiri district","412126"
"goa","south goa district","412108"
"uttar-pradesh","ballia district","412104"
"madhya-pradesh","morena district","412027"
"assam","kamrup metropolitan district","412013"
"telangana","nagarkurnool district","411916"
"rajasthan","sirohi district","411905"
"karnataka","bengaluru rural district","411896"
"west-bengal","paschim medinipur district","411877"
"rajasthan","bikaner district","411873"
"jharkhand","ramgarh district","411863"
"karnataka","shivamogga district","411810"
"karnataka","bidar district","411728"
"tamil-nadu","kanniyakumari district","411655"
"haryana","mahendragarh district","411550"
"tamil-nadu","ranipet district","411524"
"tamil-nadu","theni district","411324"
"maharashtra","yavatmal district","411242"
"haryana","sirsa district","411238"
"odisha","kalahandi district","411197"
"uttar-pradesh","bara banki district","411159"
"jharkhand","giridih district","411014"
"maharashtra","jalna district","411010"
"odisha","sambalpur district","410880"
"maharashtra","mumbai district","410878"
"madhya-pradesh","singrauli district","410819"
"odisha","baleshwar district","410789"
"gujarat","valsad district","410740"
"karnataka","haveri district","410677"
"west-bengal","howrah district","410583"
"bihar","katihar district","410498"
"himachal-pradesh","solan district","410487"
"uttar-pradesh","ambedkar nagar district","410216"
"kerala","alappuzha district","410141"
"haryana","kurukshetra district","410056"
"uttar-pradesh","kheri district","410053"
"odisha","kendujhar district","410049"
"west-bengal","jalpaiguri district","410005"
"uttar-pradesh","gonda district","410002"
"rajasthan","rajsamand district","409987"
"uttar-pradesh","ghazipur district","409921"
"uttar-pradesh","kasganj district","409863"
"kerala","ernakulam district","409812"
"madhya-pradesh","vidisha district","409741"
"uttar-pradesh","bijnor district","409603"
"gujarat","jamnagar district","409567"
"haryana","kaithal district","409446"
"haryana","panchkula district","409382"
"tamil-nadu","tirunelveli district","409319"
"telangana","bhadradri kothagudem district","409224"
"uttar-pradesh","meerut district","408972"
"west-bengal","dakshin dinajpur district","408840"
"uttarakhand","haridwar district","408768"
"assam","nagaon district","408632"
"odisha","dhenkanal district","408554"
"gujarat","gandhinagar district","408526"
"bihar","siwan district","408372"
"madhya-pradesh","hoshangabad district","408032"
"karnataka","hassan district","407970"
"madhya-pradesh","neemuch district","407957"
"kerala","pathanamthitta district","407913"
"uttarakhand","nainital district","407806"
"tamil-nadu","pudukkottai district","407777"
"punjab","fazilka district","407727"
"delhi","south district","407519"
"andhra-pradesh","spsr nellore district","407495"
"karnataka","vijayapura district","407483"
"kerala","kasaragod district","407396"
"bihar","purnia district","407327"
"karnataka","udupi district","407264"
"maharashtra","wardha district","407248"
"haryana","rohtak district","407245"
"kerala","idukki district","407231"
"bihar","madhepura district","407185"
"rajasthan","karauli district","407145"
"bihar","kaimur district","407062"
"punjab","gurdaspur district","407049"
"uttar-pradesh","rampur district","406952"
"rajasthan","jhalawar district","406945"
"delhi","west district","406877"
"rajasthan","jaisalmer district","406719"
"odisha","khordha district","406689"
"tamil-nadu","kallakkurichi district","406660"
"madhya-pradesh","narsinghpur district","406477"
"karnataka","gadag district","406443"
"maharashtra","beed district","406418"
"uttar-pradesh","sultanpur district","406332"
"madhya-pradesh","seoni district","406322"
"odisha","kendrapara district","406125"
"west-bengal","purulia district","406012"
"andhra-pradesh","anantapur district","405855"
"chhattisgarh","raipur district","405792"
"maharashtra","raigad district","405733"
"telangana","nizamabad district","405678"
"maharashtra","gondia district","405663"
"haryana","kaithal district","405639"
"bihar","nawada district","405472"
"uttar-pradesh","baghpat district","405383"
"rajasthan","chittorgarh district","405372"
"bihar","aurangabad district","405254"
"maharashtra","ratnagiri district","405070"
"himachal-pradesh","kangra district","405048"
"tamil-nadu","dharmapuri district","404709"
"bihar","saharsa district","404700"
"rajasthan","bundi district","404630"
"madhya-pradesh","shivpuri district","404501"
"odisha","balangir district","404297"
"kerala","kozhikode district","404139"
"uttar-pradesh","pilibhit district","404127"
"bihar","rohtas district","404078"
"karnataka","kolar district","404048"
"madhya-pradesh","raisen district","404002"
"goa","north goa district","403952"
"maharashtra","amravati district","403858"
"jharkhand","seraikela kharsawan district","403770"
"haryana","jind district","403750"
"uttar-pradesh","shahjahanpur district","403737"
"kerala","thrissur district","403662"
"madhya-pradesh","shajapur district","403634"
"rajasthan","dausa district","403566"
"madhya-pradesh","guna district","403515"
"uttar-pradesh","sant kabir nagar district","403343"
"uttar-pradesh","amroha district","403289"
"uttar-pradesh","auraiya district","403262"
"madhya-pradesh","sehore district","403250"
"chhattisgarh","raigarh district","403164"
"uttar-pradesh","kushinagar district","403037"
"maharashtra","bhandara district","403017"
"madhya-pradesh","rewa district","403013"
"bihar","supaul district","402896"
"punjab","sangrur district","402871"
"haryana","karnal district","402850"
"uttar-pradesh","chandauli district","402790"
"bihar","gopalganj district","402719"
"karnataka","kalaburagi district","402676"
"karnataka","koppal district","402659"
"bihar","sitamarhi district","402641"
"uttar-pradesh","rae bareli district","402616"
"gujarat","patan district","402483"
"tamil-nadu","madurai district","402474"
"odisha","puri district","402457"
"rajasthan","tonk district","402370"
"uttar-pradesh","jhansi district","402240"
"uttar-pradesh","mirzapur district","402235"
"gujarat","navsari district","402180"
"uttar-pradesh","hapur district","402167"
"tamil-nadu","virudhunagar district","402140"
"maharashtra","chandrapur district","402099"
"madhya-pradesh","sagar district","402006"
"haryana","sonipat district","402001"
"gujarat","kheda district","401982"
"telangana","yadadri bhuvanagiri district","401963"
"haryana","fatehabad district","401953"
"madhya-pradesh","barwani district","401917"
"tamil-nadu","tirupathur district","401833"
"karnataka","chikkamagaluru district","401827"
"tamil-nadu","cuddalore district","401780"
"uttar-pradesh","siddharthnagar district","401710"
"uttar-pradesh","farrukhabad district","401679"
"jammu-&-kashmir","jammu district","401675"
"west-bengal","koch bihar district","401546"
"madhya-pradesh","bhind district","401533"
"haryana","ambala district","401530"
"uttar-pradesh","bhadohi district","401498"
"punjab","hoshiarpur district","401488"
"chhattisgarh","korba district","401398"
"uttar-pradesh","amethi district","401383"
"tamil-nadu","chennai district","401349"
"telangana","vikarabad district","401199"
